CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  5EM18 PAO 9BFZU ,  DATI ANAGRAFICI <START:Name> SCHIAVO CALIRNARI <END> 27 10 1994 BELFORTE MONFERRATO  CODICE FISCALE
CODICE FISCALE PMDZ6WVCBEUO  8G ,  DATI ANAGRAFICI <START:Name> SCHIAVONE CALIUCI <END> 0611 1983 BELGIOIOSO  CODICE FISCALE
CODICE FISCALE BEVWAG8P5C  N ZF ,  DATI ANAGRAFICI <START:Name> SCHIAVONI CALIVO <END> 7 O 4 O 2017 BELGIRATE  CODICE FISCALE
CODICE FISCALE HRF91D UYGCOQIV  ,  DATI ANAGRAFICI <START:Name> SCHICAHITANO CALLAN <END> 8 7 O 8 7 1 2 4  BELLA  CODICE FISCALE
CODICE FISCALE  CYUXTDIBW9G JPO ,  DATI ANAGRAFICI <START:Name> SCHICCHI CALLARI <END> 23301901 BELLAGIO  CODICE FISCALE
CODICE FISCALE UNOZAYTI GPJQ6 R ,  DATI ANAGRAFICI <START:Name> SCHIEDA CALLEGARI <END> 3681 1906 BELLANO  CODICE FISCALE
CODICE FISCALE ZPNG6OM 8H5UVE K ,  DATI ANAGRAFICI <START:Name> SCHIEVALLO CALLERO <END>   O 426 5 98O BELLANTE  CODICE FISCALE
CODICE FISCALE GS KN1EJ XIR 6 V ,  DATI ANAGRAFICI <START:Name> SCHIFALACQUA CALLIANI <END> 15071989 BELLARIA-IGEA MARINA  CODICE FISCALE
CODICE FISCALE  6TMZ V R5CLOWYD ,  DATI ANAGRAFICI <START:Name> SCHILLACI CALLINI <END> 05 09 1999 BELLEGRA  CODICE FISCALE
CODICE FISCALE GZPB 1O X 8QHVRA ,  DATI ANAGRAFICI <START:Name> SCHILLAIA CALO <END> 1702 1935 BELLINO  CODICE FISCALE
CODICE FISCALE T5MD8HRI ACVNUWX ,  DATI ANAGRAFICI <START:Name> SCHILLECI CALÒ <END> O 4 6 5 2008 BELLINZAGO LOMBARDO  CODICE FISCALE
CODICE FISCALE  A  HZLCUF9OP 8E ,  DATI ANAGRAFICI <START:Name> SCHILLO CALOGERO <END> O 3 4 8 2 O 0 4  BELLINZAGO NOVARESE  CODICE FISCALE
CODICE FISCALE 6 S8 1HQEGNFKYZR ,  DATI ANAGRAFICI <START:Name> SCHIMENTI CALONIA <END> 63O51916 BELLIZZI  CODICE FISCALE
CODICE FISCALE BM 95RQNAW ZES X ,  DATI ANAGRAFICI <START:Name> SCHINI CALRARO <END> 04O4 1911 BELLONA  CODICE FISCALE
CODICE FISCALE HZ  N8LWXVDTSIAP ,  DATI ANAGRAFICI <START:Name> SCHINO CALTERONE <END> 158O 63 O 2 BELLOSGUARDO  CODICE FISCALE
CODICE FISCALE REZGI8W5O1NA6FQ  ,  DATI ANAGRAFICI <START:Name> SCHIO CALUMO <END> 07051909 BELLUNO  CODICE FISCALE
CODICE FISCALE Z5 98K  6MRIT CU ,  DATI ANAGRAFICI <START:Name> SCHIOPPI CALVANO <END> 14 05 1941 BELLUSCO  CODICE FISCALE
CODICE FISCALE A   YT  WMD5SRNF ,  DATI ANAGRAFICI <START:Name> SCHIRATTI CALVARIO <END> 0407 1903 BELMONTE CALABRO  CODICE FISCALE
CODICE FISCALE UJ 5ZPGYR9F XQKI ,  DATI ANAGRAFICI <START:Name> SCHIRO CALVELLO <END> 3 2 3 O 2019 BELMONTE CASTELLO  CODICE FISCALE
CODICE FISCALE XE 9BGPL5CMFV WY ,  DATI ANAGRAFICI <START:Name> SCHIRRU CALVO <END> 7 7 4 5 O 4 9 1  BELMONTE DEL SANNIO  CODICE FISCALE
CODICE FISCALE  RDXFVCYQSZWMT8K ,  DATI ANAGRAFICI <START:Name> SCHIZZI CALZA <END> 51OO1912 BELMONTE IN SABINA  CODICE FISCALE
CODICE FISCALE  GWUHN PTD  E9ZO ,  DATI ANAGRAFICI <START:Name> SCHORNIDA CALZANERA <END> 132O 1902 BELMONTE MEZZAGNO  CODICE FISCALE
CODICE FISCALE   LYT1MF HJ6GINK ,  DATI ANAGRAFICI <START:Name> SCHRIO CALZELUNGHE <END> 27O  0O983  BELMONTE PICENO  CODICE FISCALE
CODICE FISCALE  YT  GZFLDW PB98 ,  DATI ANAGRAFICI <START:Name> SCIABBARRIA CALZIBIGI <END> 12051951 BELPASSO  CODICE FISCALE
CODICE FISCALE  VE FW PQ X1G6CD ,  DATI ANAGRAFICI <START:Name> SCIACCA CALZILARI <END> 27 11 1924 BELSITO  CODICE FISCALE
CODICE FISCALE QRSGVHXP185CJIF9 ,  DATI ANAGRAFICI <START:Name> SCIACHITANO CALZINI <END> 1011 1982 BELVEDERE DI SPINELLO  CODICE FISCALE
CODICE FISCALE  M15 CSK9YE IUTJ ,  DATI ANAGRAFICI <START:Name> SCIACHITRANO CALZOLAIO <END> 7 7 O 7 2007 BELVEDERE LANGHE  CODICE FISCALE
CODICE FISCALE 6 NOTK8 Q5HCSLFU ,  DATI ANAGRAFICI <START:Name> SCIACRA CALZONI <END> 5 7 O 1 8 3 6 9  BELVEDERE MARITTIMO  CODICE FISCALE
CODICE FISCALE H5FXVG9I CTNWJ8S ,  DATI ANAGRAFICI <START:Name> SCIALE CAMAGGIO <END> 15491906 BELVEDERE OSTRENSE  CODICE FISCALE
CODICE FISCALE CDTMBF6EP  8 LSG ,  DATI ANAGRAFICI <START:Name> SCIALETTI CAMARA <END> 1027 1918 BELVEGLIO  CODICE FISCALE
CODICE FISCALE 6AYRXZ W95LISUOE ,  DATI ANAGRAFICI <START:Name> SCIALLARO CAMARDA <END> 9723O5 0  6O BELVÌ  CODICE FISCALE
CODICE FISCALE  XQ MZFNS  YIRA  ,  DATI ANAGRAFICI <START:Name> SCIALLO CAMARRO <END> 30101956 BEMA  CODICE FISCALE
CODICE FISCALE W 5 PRY  FSGUOX1 ,  DATI ANAGRAFICI <START:Name> SCIALOIA CAMATA <END> 21 03 1992 BENE LARIO  CODICE FISCALE
CODICE FISCALE JEPBDRT5HXU  1I  ,  DATI ANAGRAFICI <START:Name> SCIAMBRA CAMBERLING <END> 1507 1972 BENE VAGIENNA  CODICE FISCALE
CODICE FISCALE IGARD 6N91VBTCXW ,  DATI ANAGRAFICI <START:Name> SCIAMIBRA CAMBEU <END> 5 1 6 8 2014 BENESTARE  CODICE FISCALE
CODICE FISCALE  ORGK 1TXC6 MQVD ,  DATI ANAGRAFICI <START:Name> SCIAMPAGNA CAMBIATORE <END> 4 1 2 5 O O O 1  BENETUTTI  CODICE FISCALE
CODICE FISCALE  OLDYZA XFMP9KBV ,  DATI ANAGRAFICI <START:Name> SCIANTRO CAMBURELLA <END> OOO71916 BENEVELLO  CODICE FISCALE
CODICE FISCALE 5ZAQUL Y8COW D   ,  DATI ANAGRAFICI <START:Name> SCIARA CAMBURELLO <END> 6052 1906 BENEVENTO  CODICE FISCALE
CODICE FISCALE Y8H SB9DK U JWV1 ,  DATI ANAGRAFICI <START:Name> SCIARAPPA CAMELI <END> 3 OO 524 7  1 BENNA  CODICE FISCALE
CODICE FISCALE N5O F KTY9X1 86C ,  DATI ANAGRAFICI <START:Name> SCIARBRA CAMELIO <END> 05071924 BENTIVOGLIO  CODICE FISCALE
CODICE FISCALE   5AG1PHSDC N OX ,  DATI ANAGRAFICI <START:Name> SCIARESPINI CAMELLI <END> 14 11 1946 BERBENNO  CODICE FISCALE
CODICE FISCALE 1TOPDH8LEJ9VWMNA ,  DATI ANAGRAFICI <START:Name> SCIARINO CAMELLO <END> 1509 1919 BERBENNO DI VALTELLINA  CODICE FISCALE
CODICE FISCALE DHQU B5PVL6NEC1G ,  DATI ANAGRAFICI <START:Name> SCIARRA CAMERA <END> O 7 O 6 2019 BERCETO  CODICE FISCALE
CODICE FISCALE DW1EL BH U6FPCXY ,  DATI ANAGRAFICI <START:Name> SCIARRILLO CAMERARI <END> 2 3 7 7 O 8 0 O  BERCHIDDA  CODICE FISCALE
CODICE FISCALE 1 98RQ O GZ LHKE ,  DATI ANAGRAFICI <START:Name> SCIARRILO CAMERIERI <END> 05O61913 BEREGAZZO CON FIGLIARO  CODICE FISCALE
CODICE FISCALE OMFQ VN PH 86 IX ,  DATI ANAGRAFICI <START:Name> SCIARRIO CAMERINI <END> 2925 1913 BEREGUARDO  CODICE FISCALE
CODICE FISCALE  AQSRG HICD  ZNM ,  DATI ANAGRAFICI <START:Name> SCIASCIA CAMERLENGO <END> 0351 4  8O7 BERGAMASCO  CODICE FISCALE
CODICE FISCALE YKQ CZBFRW PV8 N ,  DATI ANAGRAFICI <START:Name> SCIFO CAMERLINGO <END> 09101923 BERGAMO  CODICE FISCALE
CODICE FISCALE XOQ UM5NH FS Y1E ,  DATI ANAGRAFICI <START:Name> SCILIMPAGLIA CAMESECCHI <END> 11 03 1996 BERGANTINO  CODICE FISCALE
CODICE FISCALE L5  8SGYB NQ1ZC6 ,  DATI ANAGRAFICI <START:Name> SCILLENGO CAMETTI <END> 0504 1936 BERGEGGI  CODICE FISCALE
CODICE FISCALE N6  HS5 9  GBRXK ,  DATI ANAGRAFICI <START:Name> SCIMENI CAMFRO <END> 4 8 O 3 2014 BERGOLO  CODICE FISCALE
CODICE FISCALE OVTECGA5 SPX DY9 ,  DATI ANAGRAFICI <START:Name> SCIMIA CAMICIA <END> 5 4 3 9 3 6 8 8  BERLINGO  CODICE FISCALE
CODICE FISCALE  P9F1KYSACWRV BG ,  DATI ANAGRAFICI <START:Name> SCIMICO CAMINETO <END> 34241902 BERNALDA  CODICE FISCALE
CODICE FISCALE  V8MLZCDGWSRH A  ,  DATI ANAGRAFICI <START:Name> SCINCA CAMINETTI <END> 6199 1911 BERNAREGGIO  CODICE FISCALE
CODICE FISCALE IDM HNZBYJ C9 TK ,  DATI ANAGRAFICI <START:Name> SCINI CAMINITI <END>  74O832O 90 BERNATE TICINO  CODICE FISCALE
CODICE FISCALE V6RUF1 KJMXNBOY  ,  DATI ANAGRAFICI <START:Name> SCINSIA CAMINITTI <END> 10091965 BERNEZZO  CODICE FISCALE
CODICE FISCALE ZXQPDJNYWBI1 TUS ,  DATI ANAGRAFICI <START:Name> SCINTA CAMINO <END> 22 04 1903 BERTINORO  CODICE FISCALE
CODICE FISCALE   ODWCRNI9PBYSK  ,  DATI ANAGRAFICI <START:Name> SCIOCCHETTI CAMISOLA <END> 2304 1938 BERTIOLO  CODICE FISCALE
CODICE FISCALE P KIRCD5GOJ ZVXQ ,  DATI ANAGRAFICI <START:Name> SCIOLÈ CAMLLARO <END> 9 1 9 9 2017 BERTONICO  CODICE FISCALE
CODICE FISCALE U1TXSHC9D JM6NZI ,  DATI ANAGRAFICI <START:Name> SCIOLI CAMMAMATO <END> 3 O 4 2 2 1 2 3  BERZANO DI SAN PIETRO  CODICE FISCALE
CODICE FISCALE SA1WNB  RVFPZQIX ,  DATI ANAGRAFICI <START:Name> SCIOLINO CAMMANATO <END> O6381918 BERZANO DI TORTONA  CODICE FISCALE
CODICE FISCALE YIJ5CF6A   QE8ZG ,  DATI ANAGRAFICI <START:Name> SCIONTINO CAMMARATA <END> OO11 1911 BERZO DEMO  CODICE FISCALE
CODICE FISCALE  LYCGTB9EOMD8 KF ,  DATI ANAGRAFICI <START:Name> SCIORTANO CAMMARATE <END>   50O63417 2  BERZO INFERIORE  CODICE FISCALE
CODICE FISCALE YJEXM1APC5B OT D ,  DATI ANAGRAFICI <START:Name> SCIORTINO CAMMARTA <END> 19061969 BERZO SAN FERMO  CODICE FISCALE
CODICE FISCALE P Q195Y VWH  LZS ,  DATI ANAGRAFICI <START:Name> SCIOTINO CAMMELLI <END> 01 07 1930 BESANA IN BRIANZA  CODICE FISCALE
CODICE FISCALE H I 5PJ9YWLX V E ,  DATI ANAGRAFICI <START:Name> SCIOTTO CAMMEO <END> 0410 1920 BESANO  CODICE FISCALE
CODICE FISCALE GL8 Q AI YZPWV6D ,  DATI ANAGRAFICI <START:Name> SCIRA CAMMERATO <END> 0 3 O 8 2015 BESATE  CODICE FISCALE
CODICE FISCALE BR Y69TMZGHDJ 1O ,  DATI ANAGRAFICI <START:Name> SCIRI CAMMILLI <END> 2 3 3 9 3 3 5 6  BESENELLO  CODICE FISCALE
CODICE FISCALE 9LE MT1HRA8NSKDI ,  DATI ANAGRAFICI <START:Name> SCIROCCHI CAMMISA <END> 08551902 BESENZONE  CODICE FISCALE
CODICE FISCALE YUF EXGJB5ODIP   ,  DATI ANAGRAFICI <START:Name> SCIROPPA CAMMISARI <END> 9O55 1910 BESNATE  CODICE FISCALE
CODICE FISCALE OFXAUQMK8ES5 ZH  ,  DATI ANAGRAFICI <START:Name> SCIULLO CAMMSOA <END>  85 2 O064  BESOZZO  CODICE FISCALE
CODICE FISCALE 9Y 61 8WVZCQORUE ,  DATI ANAGRAFICI <START:Name> SCIUSCIETTO CAMMUCIO <END> 08111956 BESSUDE  CODICE FISCALE
CODICE FISCALE ZAXTGKRW O8V1 YL ,  DATI ANAGRAFICI <START:Name> SCIUTO CAMMUSCO <END> 12 01 1913 BETTOLA  CODICE FISCALE
CODICE FISCALE 5QL OAV HJFN8CRX ,  DATI ANAGRAFICI <START:Name> SCIUTS CAMOAGORO <END> 0807 1909 BETTONA  CODICE FISCALE
CODICE FISCALE P KB5FZNLIDQ8WCS ,  DATI ANAGRAFICI <START:Name> SCIUTTO CAMOGLIO <END> 9 7 6 O 2018 BEURA-CARDEZZA  CODICE FISCALE
CODICE FISCALE QR CY5X6 WZ T 8N ,  DATI ANAGRAFICI <START:Name> SCLABRA CAMOLA <END> 2 2 O O 4 5 O 5  BEVAGNA  CODICE FISCALE
CODICE FISCALE CRX1ABKVG9Q 6ZDW ,  DATI ANAGRAFICI <START:Name> SCLAVO CAMOLETTO <END> 18501917 BEVERINO  CODICE FISCALE
CODICE FISCALE VZ6D U STEKFWOJB ,  DATI ANAGRAFICI <START:Name> SCOCA CAMOLLI <END> 62OO 1915 BEVILACQUA  CODICE FISCALE
CODICE FISCALE  XM DRVG5HKCOA F ,  DATI ANAGRAFICI <START:Name> SCOCCA CAMORIOTO <END> O28 61759O34 BIANCAVILLA  CODICE FISCALE
CODICE FISCALE  FYTQVZKS CXL1 I ,  DATI ANAGRAFICI <START:Name> SCODELLARO CAMOSCIO <END> 05111975 BIANCHI  CODICE FISCALE
CODICE FISCALE 51LXB JOGIEAKQWS ,  DATI ANAGRAFICI <START:Name> SCOGLIETTI CAMOSSO <END> 29 04 1908 BIANCO  CODICE FISCALE
CODICE FISCALE  NM69 8SUZDP  KV ,  DATI ANAGRAFICI <START:Name> SCOGLIO CAMOZZI <END> 1703 1947 BIANDRATE  CODICE FISCALE
CODICE FISCALE M9 YC6N KI1 HVGF ,  DATI ANAGRAFICI <START:Name> SCOGNAMIGLIO CAMPA <END> 2 7 6 7 2005 BIANDRONNO  CODICE FISCALE
CODICE FISCALE P1KE 8CZXH WYMIS ,  DATI ANAGRAFICI <START:Name> SCOLA CAMPADONICO <END> O 4 6 O 2 9 9 4  BIANZANO  CODICE FISCALE
CODICE FISCALE  CQYG WKZ5HU R O ,  DATI ANAGRAFICI <START:Name> SCOLAR CAMPAGNA <END> O3591902 BIANZÈ  CODICE FISCALE
CODICE FISCALE  K STM68DQI ORUN ,  DATI ANAGRAFICI <START:Name> SCOLARI CAMPAGNARO <END> O358 1901 BIANZONE  CODICE FISCALE
CODICE FISCALE YGAWRUD6LEX18MBI ,  DATI ANAGRAFICI <START:Name> SCOLETTA CAMPAGNUOLO <END> O87  190 4 6 BIASSONO  CODICE FISCALE
CODICE FISCALE B XW OQ5 RSIYFZL ,  DATI ANAGRAFICI <START:Name> SCOLFO CAMPAGONE <END> 17041988 BIBBIANO  CODICE FISCALE
CODICE FISCALE TK19MG8CWSDA INJ ,  DATI ANAGRAFICI <START:Name> SCOLISE CAMPAGORO <END> 27 02 1939 BIBBIENA  CODICE FISCALE
CODICE FISCALE AQ   NX PFR1BDTW ,  DATI ANAGRAFICI <START:Name> SCOLLI CAMPANA <END> 2607 1959 BIBBONA  CODICE FISCALE
CODICE FISCALE  EL6Q1RYCJ ZKV5S ,  DATI ANAGRAFICI <START:Name> SCONAVACCO CAMPANARO <END> 1 1 5 9 2019 BIBIANA  CODICE FISCALE
CODICE FISCALE LEQWH DZ 6JV9FRK ,  DATI ANAGRAFICI <START:Name> SCONCIAGIOCO CAMPANATO <END> 7 1 8 O 6 9 7 5  BICCARI  CODICE FISCALE
CODICE FISCALE FVTM B8G1 KYPZ O ,  DATI ANAGRAFICI <START:Name> SCONTRI CAMPANELLA <END> 45431908 BICINICCO  CODICE FISCALE
CODICE FISCALE HBW 6N9I  GYT5MR ,  DATI ANAGRAFICI <START:Name> SCONZA CAMPANELLE <END> 97O3 1919 BIDONÌ  CODICE FISCALE
CODICE FISCALE P8NXUFGSQMW V5YH ,  DATI ANAGRAFICI <START:Name> SCOPA CAMPANELLI <END> 4   97O3 625 BIELLA  CODICE FISCALE
CODICE FISCALE ME1QBON DW9HXR   ,  DATI ANAGRAFICI <START:Name> SCOPACASA CAMPANELLO <END> 24091933 BIENNO  CODICE FISCALE
CODICE FISCALE ONAH  U59  J1XZB ,  DATI ANAGRAFICI <START:Name> SCORCIA CAMPANILE <END> 30 11 1943 BIENO  CODICE FISCALE
CODICE FISCALE WVQEA6HIO8UJ Z R ,  DATI ANAGRAFICI <START:Name> SCORCIALUPI CAMPANINI <END> 0111 1907 BIENTINA  CODICE FISCALE
CODICE FISCALE Q6VCTOKA WPLNDR  ,  DATI ANAGRAFICI <START:Name> SCORDA CAMPANO <END> 1 8 O 6 2003 BINAGO  CODICE FISCALE
CODICE FISCALE ZDGR91U6T HW ECK ,  DATI ANAGRAFICI <START:Name> SCORDATO CAMPARATO <END> 5 3 2 0 4 2 4 0  BINASCO  CODICE FISCALE
CODICE FISCALE DGWK FEY9NRLITP  ,  DATI ANAGRAFICI <START:Name> SCORDINI CAMPARETTO <END> 2O671907 BINETTO  CODICE FISCALE
CODICE FISCALE OPNX SA9Y86  UR1 ,  DATI ANAGRAFICI <START:Name> SCORDO CAMPARI <END> 5183 1910 BIOGLIO  CODICE FISCALE
CODICE FISCALE ONJ5UDCYE  PM61K ,  DATI ANAGRAFICI <START:Name> SCORPATI CAMPBELL <END> 76 9O2O0  1 BIONAZ  CODICE FISCALE
CODICE FISCALE  RFT9EO6Q U1V ZI ,  DATI ANAGRAFICI <START:Name> SCORPIO CAMPESI <END> 22111902 BIONE  CODICE FISCALE
CODICE FISCALE R GHT1FMBZ EUQXS ,  DATI ANAGRAFICI <START:Name> SCORPIONE CAMPI <END> 24 06 1927 BIRORI  CODICE FISCALE
CODICE FISCALE JNFPUM1VR OT9 YA ,  DATI ANAGRAFICI <START:Name> SCORSA CAMPIANE <END> 2001 1933 BISACCIA  CODICE FISCALE
CODICE FISCALE F8J X KQOM19 V 5 ,  DATI ANAGRAFICI <START:Name> SCORSO CAMPICIONIO <END> O 0 2 8 2019 BISACQUINO  CODICE FISCALE
CODICE FISCALE 1X ALKQSI6BW PUF ,  DATI ANAGRAFICI <START:Name> SCORSONE CAMPINI <END> 4 1 8 3 0 6 O 7  BISCEGLIE  CODICE FISCALE
CODICE FISCALE MU8  LDEIAO9 B1  ,  DATI ANAGRAFICI <START:Name> SCORTICATI CAMPIONE <END> 82071914 BISEGNA  CODICE FISCALE
CODICE FISCALE U ST WREBA  J9VZ ,  DATI ANAGRAFICI <START:Name> SCORTINO CAMPISE <END> 4O98 1912 BISENTI  CODICE FISCALE
CODICE FISCALE  MNF EWGJQH15AP  ,  DATI ANAGRAFICI <START:Name> SCORZA CAMPISI <END>  294 3150 8 BISIGNANO  CODICE FISCALE
CODICE FISCALE I J EZ96SMRQTW8O ,  DATI ANAGRAFICI <START:Name> SCOTELLARO CAMPO <END> 07041917 BISTAGNO  CODICE FISCALE
CODICE FISCALE L68DHSU9V 1ANPWR ,  DATI ANAGRAFICI <START:Name> SCOTTINI CAMPOBELLO <END> 27 02 1906 BISUSCHIO  CODICE FISCALE
CODICE FISCALE UH FKW6P9C YBDS5 ,  DATI ANAGRAFICI <START:Name> SCOTTO CAMPOLONGO <END> 2507 1988 BITETTO  CODICE FISCALE
CODICE FISCALE B8TN5XSIP RVJFY1 ,  DATI ANAGRAFICI <START:Name> SCOTTON CAMPON <END> 4 1 5 5 2011 BITONTO  CODICE FISCALE
CODICE FISCALE TM1V8FUYZAQRBXNE ,  DATI ANAGRAFICI <START:Name> SCOTTONE CAMPPIO <END> O 6 O 4 7 6 O 1  BITRITTO  CODICE FISCALE
CODICE FISCALE  5A1 XQHUTDLSRFM ,  DATI ANAGRAFICI <START:Name> SCOUIA CAMPPO <END> O2351912 BITTI  CODICE FISCALE
CODICE FISCALE 5TI 8 BGNXQUHPRF ,  DATI ANAGRAFICI <START:Name> SCOVATTO CAMPRISE <END> 6O81 1915 BIVONA  CODICE FISCALE
CODICE FISCALE MI5 8NP UBQXR1L6 ,  DATI ANAGRAFICI <START:Name> SCOVETTI CAMPRISI <END> 2847 O93 6  BIVONGI  CODICE FISCALE
CODICE FISCALE HWDQT G6951YKJ U ,  DATI ANAGRAFICI <START:Name> SCOZIA CAMRAQUA <END> 25111988 BIZZARONE  CODICE FISCALE
CODICE FISCALE YIEX JB6 N R5PZW ,  DATI ANAGRAFICI <START:Name> SCOZZAFAVA CAMTOVESPE <END> 08 07 1934 BLEGGIO SUPERIORE  CODICE FISCALE
CODICE FISCALE NDKPT1XSIH65 YFA ,  DATI ANAGRAFICI <START:Name> SCOZZARI CAMUGNARO <END> 2710 1940 BLELLO  CODICE FISCALE
CODICE FISCALE X DHM  UVPONW IL ,  DATI ANAGRAFICI <START:Name> SCRIBANTE CAMULO <END> 2 6 3 8 2015 BLERA  CODICE FISCALE
CODICE FISCALE LUZPI8H VG5TORXN ,  DATI ANAGRAFICI <START:Name> SCRIGNARO CAMUSCIO <END> 8 O 8 1 8 2 2 5  BLESSAGNO  CODICE FISCALE
CODICE FISCALE  NYRQB5PSTVAFM X ,  DATI ANAGRAFICI <START:Name> SCRITTORE CAMUSO <END> 19821908 BLEVIO  CODICE FISCALE
CODICE FISCALE C H5B6YLTUPFA R1 ,  DATI ANAGRAFICI <START:Name> SCRIVANO CAMUSSO <END> 7457 1918 BLUFI  CODICE FISCALE
CODICE FISCALE BZWKJQ     EMPHT ,  DATI ANAGRAFICI <START:Name> SCROFADELLA CAMUZZI <END> 73984O O6 1 BOARA PISANI  CODICE FISCALE
CODICE FISCALE SZ TMBPHNEXIAKDC ,  DATI ANAGRAFICI <START:Name> SCROFANO CANADEO <END> 15041970 BOBBIO  CODICE FISCALE
CODICE FISCALE PH56  1G  L RYQM ,  DATI ANAGRAFICI <START:Name> SCRULLO CANALE <END> 02 05 1943 BOBBIO PELLICE  CODICE FISCALE
CODICE FISCALE QLS9AX16ORCW KN  ,  DATI ANAGRAFICI <START:Name> SCSTURIS CANALIS <END> 2409 1955 BOCA  CODICE FISCALE
CODICE FISCALE  KYU PN6JV5  TR  ,  DATI ANAGRAFICI <START:Name> SCUCECCA CANARINO <END> 9 O O 9 2016 BOCCHIGLIERO  CODICE FISCALE
CODICE FISCALE CKYH MEF9PJN A5O ,  DATI ANAGRAFICI <START:Name> SCUDELLA CANARIO <END> 9 4 9 4 O 6 6 0  BOCCIOLETO  CODICE FISCALE
CODICE FISCALE B6ZE5X M  AQUP8R ,  DATI ANAGRAFICI <START:Name> SCUDELLATI CANATTA <END> 51161905 BOCENAGO  CODICE FISCALE
CODICE FISCALE 8IFJY9MDPSCVK1WR ,  DATI ANAGRAFICI <START:Name> SCUDI CANAVA <END> 9312 1912 BODIO LOMNAGO  CODICE FISCALE
CODICE FISCALE UWMCF  TOSVAYZ1E ,  DATI ANAGRAFICI <START:Name> SCUICA CANCELLARI <END>  543   8 07 BOFFALORA D'ADDA  CODICE FISCALE
CODICE FISCALE U PIHZGQYJLCXBN  ,  DATI ANAGRAFICI <START:Name> SCUILLO CANCELLIERI <END> 22061973 BOFFALORA SOPRA TICINO  CODICE FISCALE
CODICE FISCALE GXUAFY L K1R  5Q ,  DATI ANAGRAFICI <START:Name> SCULLY CANCELLO <END> 18 01 1904 BOGLIASCO  CODICE FISCALE
CODICE FISCALE L69YMG5QNJZFW1EK ,  DATI ANAGRAFICI <START:Name> SCULTORE CANCEMI <END> 1902 1949 BOGNANCO  CODICE FISCALE
CODICE FISCALE 6L X K ZI89C1 DM ,  DATI ANAGRAFICI <START:Name> SCUPARI CANCIALONI <END> 1 7 3 6 2007 BOGOGNO  CODICE FISCALE
CODICE FISCALE PMGDTU6C 159HIYF ,  DATI ANAGRAFICI <START:Name> SCURA CANCILLA <END> 5 2 0 5 4 4 O O  BOISSANO  CODICE FISCALE
CODICE FISCALE  6BJ5PGO IQ N8 X ,  DATI ANAGRAFICI <START:Name> SCURI CANCINO <END> 57O91910 BOJANO  CODICE FISCALE
CODICE FISCALE  D 9  PXRGHLTEBQ ,  DATI ANAGRAFICI <START:Name> SCURRIA CANCRO <END> OOOO 1900 BOLANO  CODICE FISCALE
CODICE FISCALE  AYG1F KTCZ BQ U ,  DATI ANAGRAFICI <START:Name> SCUTARI CANDELA <END>  3 627 01OO 4 BOLGARE  CODICE FISCALE
CODICE FISCALE JQ6OE8FWRVUXD9 G ,  DATI ANAGRAFICI <START:Name> SCUTELLARI CANDELARI <END> 19071916 BOLLATE  CODICE FISCALE
CODICE FISCALE JOCG F KWVA  LTN ,  DATI ANAGRAFICI <START:Name> SCUTERI CANDELIERI <END> 02 09 1989 BOLLENGO  CODICE FISCALE
CODICE FISCALE    FOKUP9I8 WSAG ,  DATI ANAGRAFICI <START:Name> SCUTIERI CANDELISI <END> 1302 1919 BOLOGNA  CODICE FISCALE
CODICE FISCALE  SN1MOEUICV HYG8 ,  DATI ANAGRAFICI <START:Name> SCUTISE CANDELONE <END> 9 1 3 2 2016 BOLOGNANO  CODICE FISCALE
CODICE FISCALE K1 8CWB YL JRV6F ,  DATI ANAGRAFICI <START:Name> SCUTO CANDELORA <END> 2 O 2 O 5 5 4 6  BOLOGNETTA  CODICE FISCALE
CODICE FISCALE W9ERMFCQVD OX8KT ,  DATI ANAGRAFICI <START:Name> SCUZZARI CANDELORO <END> 55051914 BOLOGNOLA  CODICE FISCALE
CODICE FISCALE  J 5Q9WNG8 LKTBX ,  DATI ANAGRAFICI <START:Name> SEALICI CANDIA <END> 89O7 1912 BOLOTANA  CODICE FISCALE
CODICE FISCALE ET6ADVNLM PHS    ,  DATI ANAGRAFICI <START:Name> SEARRANO CANDIDO <END> 53 0269O 7 1  BOLSENA  CODICE FISCALE
CODICE FISCALE EBPAL1RU YX9K  T ,  DATI ANAGRAFICI <START:Name> SEBASTIANI CANDIEVA <END> 25071900 BOLTIERE  CODICE FISCALE
CODICE FISCALE THI1PX QRYDL58SU ,  DATI ANAGRAFICI <START:Name> SEBASTIANO CANDILARO <END> 03 06 1988 BOLZANO  CODICE FISCALE
CODICE FISCALE BFVTW8RSNH  OI65 ,  DATI ANAGRAFICI <START:Name> SEBBETTA CANDIOTO <END> 0302 1996 BOLZANO NOVARESE  CODICE FISCALE
CODICE FISCALE XSY5W ADRKMOGEBT ,  DATI ANAGRAFICI <START:Name> SECAFICO CANDIOTTI <END> O 2 0 9 2013 BOLZANO VICENTINO  CODICE FISCALE
CODICE FISCALE EL1C MAW9U6BY TQ ,  DATI ANAGRAFICI <START:Name> SECALE CANDOLFO <END> 6 4 O 7 O 2 O 6  BOMARZO  CODICE FISCALE
