CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE YDHF9CPBTWKX8 QZ ,  DATI ANAGRAFICI RACHELI BECCERONI 8409 1914 COMIZIANO  CODICE FISCALE
CODICE FISCALE KU6 AW 8IT  91QN ,  DATI ANAGRAFICI RACITI BECCHERI   5 02 1O9O COMMESSAGGIO  CODICE FISCALE
CODICE FISCALE  MLYBDK1NJT 6W8  ,  DATI ANAGRAFICI RACO BECCHERINI 20061916 COMMEZZADURA  CODICE FISCALE
CODICE FISCALE Y6 I81ZENAB59HSK ,  DATI ANAGRAFICI RACS BECCHETTI 29 05 1989 COMO  CODICE FISCALE
CODICE FISCALE HD IW96LG1B A 5Z ,  DATI ANAGRAFICI RADICCI BECCHI 1010 1988 COMPIANO  CODICE FISCALE
CODICE FISCALE MGI6B 1 HZFVD 9P ,  DATI ANAGRAFICI RADOSTA BECCI 5 9 0 9 2001 COMUN NUOVO  CODICE FISCALE
CODICE FISCALE K Y5XPZFL9    6G ,  DATI ANAGRAFICI RADOSTI BECCIO 4 O 7 2 O 0 O 7  COMUNANZA  CODICE FISCALE
CODICE FISCALE N UROZDXLPQY TW  ,  DATI ANAGRAFICI RAFANELLI BECCO 66O91916 CONA  CODICE FISCALE
CODICE FISCALE  S9VZ1 IP6XJ CTM ,  DATI ANAGRAFICI RAFFAELE BECHELLI OOO2 1913 CONCA CASALE  CODICE FISCALE
CODICE FISCALE  M9WJHBRQTYZ5K U ,  DATI ANAGRAFICI RAFFAGININO BECHI  18 4065 2 9 CONCA DEI MARINI  CODICE FISCALE
CODICE FISCALE P 9EZYVSXR8FJOC6 ,  DATI ANAGRAFICI RAFIA BEDOLLA 01081977 CONCA DELLA CAMPANIA  CODICE FISCALE
CODICE FISCALE F5LPAK  EYHD BIG ,  DATI ANAGRAFICI RAFICA BEFANI 30 01 1950 CONCAMARISE  CODICE FISCALE
CODICE FISCALE   1AD XE OIZL5JM ,  DATI ANAGRAFICI RAGANA BEGHÈ 0805 1972 CONCERVIANO  CODICE FISCALE
CODICE FISCALE 91QS XFDIPR T5BY ,  DATI ANAGRAFICI RAGANELLI BEGHINI 5 9 1 7 2004 CONCESIO  CODICE FISCALE
CODICE FISCALE L PNADGSB1M9J KQ ,  DATI ANAGRAFICI RAGANO BEHANELLA 2 8 7 0 1 4 9 O  CONCO  CODICE FISCALE
CODICE FISCALE GRH1MSP9 I5C6 KX ,  DATI ANAGRAFICI RAGASUO BELANTE 61101918 CONCORDIA SAGITTARIA  CODICE FISCALE
CODICE FISCALE N 19KFS QJMZAUH  ,  DATI ANAGRAFICI RAGAZZI BELCASTRO 4OO9 1918 CONCORDIA SULLA SECCHIA  CODICE FISCALE
CODICE FISCALE Z8I  6DRG X5 YSH ,  DATI ANAGRAFICI RAGAZZINI BELCAVELLO  O16 8  27 O CONCOREZZO  CODICE FISCALE
CODICE FISCALE V XL 5 6N9RC DSB ,  DATI ANAGRAFICI RAGGHIANTI BELELLO 19091923 CONDOFURI  CODICE FISCALE
CODICE FISCALE 1WNTKHV8DSFL R5J ,  DATI ANAGRAFICI RAGGIA BELFANTE 19 05 1943 CONDOVE  CODICE FISCALE
CODICE FISCALE  9QEG8 C  UBAJD5 ,  DATI ANAGRAFICI RAGGIO BELFI 2604 1956 CONDRÒ  CODICE FISCALE
CODICE FISCALE GZ PFDA8UCI J  B ,  DATI ANAGRAFICI RAGIONIERI BELFIGLIO 9 1 1 1 2009 CONEGLIANO  CODICE FISCALE
CODICE FISCALE VE8NLZM 6H 9KBXS ,  DATI ANAGRAFICI RAGNINI BELFIORE O 6 O O O 0 0 2  CONFIENZA  CODICE FISCALE
CODICE FISCALE 1WJKP6CYZ M8  BE ,  DATI ANAGRAFICI RAGNO BELFORTE OOO11917 CONFIGNI  CODICE FISCALE
CODICE FISCALE AP Y QFDU MOGKNT ,  DATI ANAGRAFICI RAGONESI BELGIO 398O 1917 CONFLENTI  CODICE FISCALE
CODICE FISCALE S5KTH E  8 WVLM1 ,  DATI ANAGRAFICI RAGOSO BELGIOVINE  O523 1 O 9 CONIOLO  CODICE FISCALE
CODICE FISCALE H 8XFMIRJCU D1SB ,  DATI ANAGRAFICI RAGOSTA BELGRADO 09061983 CONSELICE  CODICE FISCALE
CODICE FISCALE QR69 N5AJ MGUI 1 ,  DATI ANAGRAFICI RAGUA BELICI 02 02 1991 CONSELVE  CODICE FISCALE
CODICE FISCALE Y9 8VUGZ6 LHP XK ,  DATI ANAGRAFICI RAGUSA BELINI 0202 1983 CONTÀ  CODICE FISCALE
CODICE FISCALE NDYWKFQ 6MSJE L9 ,  DATI ANAGRAFICI RAGUSE BELLABOCCA 1 4 7 O 2015 CONTESSA ENTELLINA  CODICE FISCALE
CODICE FISCALE ZIPT  KLFRVO  58 ,  DATI ANAGRAFICI RAGUSEO BELLACCHINO 7 0 6 6 O 6 9 3  CONTIGLIANO  CODICE FISCALE
CODICE FISCALE 8I5V G6P9 XQZ  N ,  DATI ANAGRAFICI RAIA BELLACHIOMA 04O31911 CONTRADA  CODICE FISCALE
CODICE FISCALE UYCPDLMATJ GIWNS ,  DATI ANAGRAFICI RAIMONDI BELLACREA 2735 1908 CONTROGUERRA  CODICE FISCALE
CODICE FISCALE S5V1ZGUFHE9CO6 J ,  DATI ANAGRAFICI RAINA BELLADONNA  O 539O61 0 CONTRONE  CODICE FISCALE
CODICE FISCALE 8PMKDEXBF  H6I Z ,  DATI ANAGRAFICI RAINARDI BELLAFIORI 12061928 CONTURSI TERME  CODICE FISCALE
CODICE FISCALE 1 UDTOMPFJHES5A  ,  DATI ANAGRAFICI RAINIERI BELLAGAMBI 02 11 1928 CONVERSANO  CODICE FISCALE
CODICE FISCALE 6Q5FNLGR E1YUW9I ,  DATI ANAGRAFICI RAINONE BELLAGRANDE 2207 1927 CONZA DELLA CAMPANIA  CODICE FISCALE
CODICE FISCALE TLXF DSN9 KV JIO ,  DATI ANAGRAFICI RAINUCCI BELLAMO 0 2 8 O 2006 CONZANO  CODICE FISCALE
CODICE FISCALE CUW Z81MVI  OKJG ,  DATI ANAGRAFICI RAIOLA BELLAMORE O 2 9 5 4 1 0 4  COPERTINO  CODICE FISCALE
CODICE FISCALE D   JTIMQCBAH PE ,  DATI ANAGRAFICI RAJNA BELLANCA 9O801915 COPIANO  CODICE FISCALE
CODICE FISCALE BRQF9PSAZ YXI LV ,  DATI ANAGRAFICI RALAMO BELLANIMA O169 1916 COPPARO  CODICE FISCALE
CODICE FISCALE FJGEAWIB89M6     ,  DATI ANAGRAFICI RALLI BELLANTONIO 12 O8  40O7 9 CORANA  CODICE FISCALE
CODICE FISCALE PHV YIN BMKXGL J ,  DATI ANAGRAFICI RAMALLO BELLARDELLO 24071910 CORATO  CODICE FISCALE
CODICE FISCALE  8P S6HF GVNQOUY ,  DATI ANAGRAFICI RAMBALDI BELLARDI 14 09 1904 CORBARA  CODICE FISCALE
CODICE FISCALE 5RUCLINGV6HE8  D ,  DATI ANAGRAFICI RAMCIS BELLARIO 0811 1925 CORBETTA  CODICE FISCALE
CODICE FISCALE OXK BPHZ1U 8R  A ,  DATI ANAGRAFICI RAMETTA BELLAROSA 3 6 O 5 2017 CORBOLA  CODICE FISCALE
CODICE FISCALE NOA EYCWJXZRSM1D ,  DATI ANAGRAFICI RAMORINI BELLATRECCIA 3 4 5 3 O 5 3 8  CORCHIANO  CODICE FISCALE
CODICE FISCALE SFGDUWL9E KHQ6CO ,  DATI ANAGRAFICI RAMPICHINI BELLE 1O261913 CORCIANO  CODICE FISCALE
CODICE FISCALE YIHL NK TBDCGSPA ,  DATI ANAGRAFICI RAMPINELLI BELLEI 9321 1911 CORDENONS  CODICE FISCALE
CODICE FISCALE 51 MCKR8PSUFVLQG ,  DATI ANAGRAFICI RAMPONI BELLELLI   307O49O815 CORDIGNANO  CODICE FISCALE
CODICE FISCALE  H O XRDNTI8BKQ  ,  DATI ANAGRAFICI RAMUNDO BELLENETTO 13061944 CORDOVADO  CODICE FISCALE
CODICE FISCALE QKYFMR 6IWT CO5G ,  DATI ANAGRAFICI RANA BELLEZZA 29 09 1982 COREGLIA ANTELMINELLI  CODICE FISCALE
CODICE FISCALE MEXYZQ9 ITN8RVLK ,  DATI ANAGRAFICI RANALLI BELLI 3011 1921 COREGLIA LIGURE  CODICE FISCALE
CODICE FISCALE  QNUB5PTH8SJM 9  ,  DATI ANAGRAFICI RANALLO BELLIBONI 3 8 5 0 2003 CORENO AUSONIO  CODICE FISCALE
CODICE FISCALE  DATLJOKXSU Y 1Z ,  DATI ANAGRAFICI RANCONI BELLICI 4 1 6 1 5 1 6 1  CORFINIO  CODICE FISCALE
CODICE FISCALE   L59M1QHF UCE6B ,  DATI ANAGRAFICI RANDAZZO BELLIGERANTI 71741915 CORI  CODICE FISCALE
CODICE FISCALE 8PX65S RK HJUQYC ,  DATI ANAGRAFICI RANDERPO BELLINI 0258 1914 CORIANO  CODICE FISCALE
CODICE FISCALE SZ8HDAQEPKX96BNW ,  DATI ANAGRAFICI RANDESI BELLINO 4273 106O8  CORIGLIANO-ROSSANO  CODICE FISCALE
CODICE FISCALE Y5PTH WGVR FSE J ,  DATI ANAGRAFICI RANDISI BELLIPANNI 21011938 CORIGLIANO D'OTRANTO  CODICE FISCALE
CODICE FISCALE MB ZAESVK5CL9O 1 ,  DATI ANAGRAFICI RANDO BELLISSIMO 20 09 1957 CORINALDO  CODICE FISCALE
CODICE FISCALE R96 MUGOS  W LE  ,  DATI ANAGRAFICI RANDONE BELLO 0207 1936 CORIO  CODICE FISCALE
CODICE FISCALE LDWSE86BZOKA CQX ,  DATI ANAGRAFICI RANELLI BELLOCCHIO 3 4 3 2 2009 CORLEONE  CODICE FISCALE
CODICE FISCALE P NQS9 TZR GXH   ,  DATI ANAGRAFICI RANGHETTI BELLOFATTO 4 1 7 1 4 5 6 9  CORLETO MONFORTE  CODICE FISCALE
CODICE FISCALE N6VPEAQUW BJM ZR ,  DATI ANAGRAFICI RANGO BELLOME 59O21912 CORLETO PERTICARA  CODICE FISCALE
CODICE FISCALE SRX N1M6GV CD HF ,  DATI ANAGRAFICI RANGONE BELLOMO 1160 1909 CORMANO  CODICE FISCALE
CODICE FISCALE D  WH KGIJE8QNVP ,  DATI ANAGRAFICI RANIOLI BELLONI 705  9O618O23 CORMONS  CODICE FISCALE
CODICE FISCALE  F DEOLU5MZSN1TV ,  DATI ANAGRAFICI RANNO BELLUCIO 07011957 CORNA IMAGNA  CODICE FISCALE
CODICE FISCALE RW  CVSZGY6A1IDF ,  DATI ANAGRAFICI RANOCCHIO BELLUSCI 17 07 1926 CORNALBA  CODICE FISCALE
CODICE FISCALE  JHUGC FYPMITQZ  ,  DATI ANAGRAFICI RANSI BELLUTO 0410 1935 CORNALE E BASTIDA  CODICE FISCALE
CODICE FISCALE W1H AZ9QS 8J6 TU ,  DATI ANAGRAFICI RANSOME BELPANNO 8 4 O 5 2017 CORNAREDO  CODICE FISCALE
CODICE FISCALE BPAY59 HGQDV M6  ,  DATI ANAGRAFICI RANZETTI BELSITI 3 4 9 9 O 9 5 6  CORNATE D'ADDA  CODICE FISCALE
CODICE FISCALE EMUJSCNLG 6 KXFP ,  DATI ANAGRAFICI RANZI BELTRAMELLO O0O51903 CORNEDO ALL'ISARCO  CODICE FISCALE
CODICE FISCALE F X  QVWJ ZNSPHE ,  DATI ANAGRAFICI RANZOLI BELVISO 68O9 1902 CORNEDO VICENTINO  CODICE FISCALE
CODICE FISCALE 9BL1M D  XIGPS 6 ,  DATI ANAGRAFICI RAPACCIOLI BELVISOTTI   OO4306    CORNEGLIANO LAUDENSE  CODICE FISCALE
CODICE FISCALE 5LHAI 8ZSQX 6ODP ,  DATI ANAGRAFICI RAPAGNETTA BELZOPPI 23101917 CORNELIANO D'ALBA  CODICE FISCALE
CODICE FISCALE QNX 8 A5I   69VJ ,  DATI ANAGRAFICI RAPOLLA BEMANELLA 17 09 1909 CORNIGLIO  CODICE FISCALE
CODICE FISCALE JIK CWO8PZ UL 1V ,  DATI ANAGRAFICI RAPOSA BENAMATO 2208 1960 CORNO DI ROSAZZO  CODICE FISCALE
CODICE FISCALE  CQHYLWF6 9ZMOK5 ,  DATI ANAGRAFICI RAPPA BENANNO 5 2 0 O 2018 CORNO GIOVINE  CODICE FISCALE
CODICE FISCALE RQENG1IS5C ZB FX ,  DATI ANAGRAFICI RAPPOBO BENCI O 8 9 2 0 O 1 O  CORNOVECCHIO  CODICE FISCALE
CODICE FISCALE E 5O1IKYDHL 8Z J ,  DATI ANAGRAFICI RAPPOLO BENCIVENGA 04541914 CORNUDA  CODICE FISCALE
CODICE FISCALE 1CN8AR T UE 9K6V ,  DATI ANAGRAFICI RAPUZZI BENCIVENGO 5276 1910 CORREGGIO  CODICE FISCALE
CODICE FISCALE HIWSQZ G BPKUA91 ,  DATI ANAGRAFICI RASCHI BENCIVENNI 193O467  O  2 CORREZZANA  CODICE FISCALE
CODICE FISCALE LJEDNIFRCGXUK BS ,  DATI ANAGRAFICI RASETTI BENCONIO 29051996 CORREZZOLA  CODICE FISCALE
CODICE FISCALE YB FH8X T9CW1N 5 ,  DATI ANAGRAFICI RASO BENCRISCIUTO 09 11 1945 CORRIDO  CODICE FISCALE
CODICE FISCALE SNRPHO 5BV TIQXF ,  DATI ANAGRAFICI RASSAESSIO BENDI 2205 1946 CORRIDONIA  CODICE FISCALE
CODICE FISCALE MCLRIQ HZ95 KSO  ,  DATI ANAGRAFICI RASSELLAMA BENE 4 3 O 3 2011 CORROPOLI  CODICE FISCALE
CODICE FISCALE FUBSV ZCR E IGKY ,  DATI ANAGRAFICI RASTELLI BENEDETTI O 3 4 1 O 3 O 4  CORSANO  CODICE FISCALE
CODICE FISCALE O95 HBLXCPR YKT1 ,  DATI ANAGRAFICI RATTI BENEDETTO 42691916 CORSICO  CODICE FISCALE
CODICE FISCALE V AS9FIBXJE8DG   ,  DATI ANAGRAFICI RATTO BENEDICENTI 4O9O 1902 CORSIONE  CODICE FISCALE
CODICE FISCALE 5MLVA JY E6U1BK  ,  DATI ANAGRAFICI RAVAGLIA BENEMERITO 9752410  8   CORTACCIA SULLA STRADA DEL VINO  CODICE FISCALE
CODICE FISCALE  G9JXUROEFBY  VH ,  DATI ANAGRAFICI RAVANELLO BENENATI 25081901 CORTALE  CODICE FISCALE
CODICE FISCALE   6859WD 1MKRUXY ,  DATI ANAGRAFICI RAVASCHIERI BENENETTO 09 03 1967 CORTANDONE  CODICE FISCALE
CODICE FISCALE OTQXJV LZY  ABI8 ,  DATI ANAGRAFICI RAVAZZA BENESSERE 2602 1966 CORTANZE  CODICE FISCALE
CODICE FISCALE HL9 Q GNRF ZITKA ,  DATI ANAGRAFICI RAVENNA BENETTO 5 5 6 5 2001 CORTAZZONE  CODICE FISCALE
CODICE FISCALE V1AS8LHJOEQ P6 X ,  DATI ANAGRAFICI RAVERA BENEVOLI 3 9 3 O 0 O 0 4  CORTE BRUGNATELLA  CODICE FISCALE
CODICE FISCALE T5D6HQ9KXJY  WGU ,  DATI ANAGRAFICI RAVI BENFANTE O89O1901 CORTE DE' CORTESI CON CIGNONE  CODICE FISCALE
CODICE FISCALE U98VRAMKB56 C E1 ,  DATI ANAGRAFICI RAVIGLIA BENGA 15OO 1915 CORTE DE' FRATI  CODICE FISCALE
CODICE FISCALE CSN QFAW6OJLP9V1 ,  DATI ANAGRAFICI RAVIOLO BENIAMINO 8  1796403  O CORTE FRANCA  CODICE FISCALE
CODICE FISCALE TWZEX8Q16OU5CF Y ,  DATI ANAGRAFICI RAVIZZA BENIGNI 08091906 CORTE PALASIO  CODICE FISCALE
CODICE FISCALE CZQF6EVGUIOJAB   ,  DATI ANAGRAFICI RAVIZZONI BENIGNO 19 04 1913 CORTEMAGGIORE  CODICE FISCALE
CODICE FISCALE CJENRTBA VW89UGH ,  DATI ANAGRAFICI RAZZA BENINATE 0404 1958 CORTEMILIA  CODICE FISCALE
CODICE FISCALE JH8OK61 MZGLBFNV ,  DATI ANAGRAFICI RAZZARA BENINATI 5 7 4 2 2016 CORTENO GOLGI  CODICE FISCALE
CODICE FISCALE IANL PT98Q SD KG ,  DATI ANAGRAFICI RAZZETTA BENINATO 5 1 2 9 5 0 O 9  CORTENOVA  CODICE FISCALE
CODICE FISCALE  ELI PQXFMCV5RGO ,  DATI ANAGRAFICI RAZZETTO BENIVOGLIO 88441911 CORTENUOVA  CODICE FISCALE
CODICE FISCALE YBWG69C DK 1JV   ,  DATI ANAGRAFICI RAZZO BENLACQUA 2O46 1902 CORTEOLONA E GENZONE  CODICE FISCALE
CODICE FISCALE 1LKWFZGM5HBE D N ,  DATI ANAGRAFICI RAZZOLINI BENNANO  4O13  0562 CORTIGLIONE  CODICE FISCALE
CODICE FISCALE  VA  JHLRG95WPXM ,  DATI ANAGRAFICI RE BENNINATO 15101969 CORTINA D'AMPEZZO  CODICE FISCALE
CODICE FISCALE D9XJZH E8VA CM65 ,  DATI ANAGRAFICI REALI BENTIVENGA 15 05 1915 CORTINA SULLA STRADA DEL VINO  CODICE FISCALE
CODICE FISCALE 5JHL9WN V K QGU  ,  DATI ANAGRAFICI REALMATO BENTROVATI 0710 1917 CORTINO  CODICE FISCALE
CODICE FISCALE WC56LRDGZ9 8 P1J ,  DATI ANAGRAFICI RE’ANTONINO BENVEDUTO 8 O O 1 2010 CORTONA  CODICE FISCALE
CODICE FISCALE Q   JP9LBF T6SZV ,  DATI ANAGRAFICI REAO BENVENETTO 9 8 3 5 0 O 2 9  CORVARA  CODICE FISCALE
CODICE FISCALE BVHP  LWARI1KUMN ,  DATI ANAGRAFICI RECCHI BENVENUTO 459O1918 CORVARA IN BADIA  CODICE FISCALE
CODICE FISCALE 9BMW8E VD6J5XGOI ,  DATI ANAGRAFICI RECCHINI BENVOGLIENTE 3961 1901 CORVINO SAN QUIRICO  CODICE FISCALE
CODICE FISCALE YSAUZ M B  ILRXQ ,  DATI ANAGRAFICI RECCHIONE BENVONETO 5 27  96 O0 O CORZANO  CODICE FISCALE
CODICE FISCALE  J6MZFURD  TSECQ ,  DATI ANAGRAFICI RECHINSO BEOLCO 22081943 COSEANO  CODICE FISCALE
CODICE FISCALE    YXRW9S8OE AQ6 ,  DATI ANAGRAFICI REDI BEORDELETTO 16 08 1978 COSENZA  CODICE FISCALE
CODICE FISCALE RH8GUMJIFN6T5 C9 ,  DATI ANAGRAFICI REDINITI BERARDI 2601 1918 COSIO DI ARROSCIA  CODICE FISCALE
CODICE FISCALE KG FM LX9UIN6 1B ,  DATI ANAGRAFICI REDLMENTO BERARDINI 0 4 3 2 2015 COSIO VALTELLINO  CODICE FISCALE
CODICE FISCALE 6CQSEVPB  UINWRK ,  DATI ANAGRAFICI REDNBALDA BERARDO 2 5 9 6 6 9 1 7  COSOLETO  CODICE FISCALE
CODICE FISCALE 5 X Z9IB MF 6R G ,  DATI ANAGRAFICI REESSECCA BERARDOZZI 15551914 COSSANO BELBO  CODICE FISCALE
CODICE FISCALE VEN Z P 16 YIDH  ,  DATI ANAGRAFICI REGATTIERI BERCUTI 4423 1902 COSSANO CANAVESE  CODICE FISCALE
CODICE FISCALE M5Y1T ZDPLFQ6U J ,  DATI ANAGRAFICI REGAZZI BERGAMASCO  6 457O92801 COSSATO  CODICE FISCALE
CODICE FISCALE PI K8QCR SH JTB  ,  DATI ANAGRAFICI REGAZZINI BERGANTINI 04041969 COSSERIA  CODICE FISCALE
CODICE FISCALE ZKD1PQRIB 5GHO9V ,  DATI ANAGRAFICI REGGIO BERICO 27 11 1989 COSSIGNANO  CODICE FISCALE
CODICE FISCALE VC6HMPDBEI9J KSG ,  DATI ANAGRAFICI REGINA BERINI 2204 1978 COSSOGNO  CODICE FISCALE
CODICE FISCALE T   NXPFZJGBMCAR ,  DATI ANAGRAFICI REGOLO BERINO 3 6 8 3 2004 COSSOINE  CODICE FISCALE
CODICE FISCALE CW REN5QLI6YMP   ,  DATI ANAGRAFICI REIBANTOR BERLINGIERI 8 3 1 0 1 4 9 0  COSSOMBRATO  CODICE FISCALE
CODICE FISCALE AHI  VSBOPJ1 Q T ,  DATI ANAGRAFICI REINA BERLINI O5551913 COSTA DE' NOBILI  CODICE FISCALE
CODICE FISCALE 8 F69GOC1RDZXK 5 ,  DATI ANAGRAFICI REITANO BERLUSCONI 7854 1903 COSTA DI MEZZATE  CODICE FISCALE
CODICE FISCALE 8LFTKIUD QX9NVMG ,  DATI ANAGRAFICI RELELLO BERMANNO   492 36 17O COSTA DI ROVIGO  CODICE FISCALE
CODICE FISCALE KZCPBDJ5T GMLH1X ,  DATI ANAGRAFICI RELIGIONE BERMBACA 10011988 COSTA MASNAGA  CODICE FISCALE
CODICE FISCALE YCDG NZ6XIW  JKF ,  DATI ANAGRAFICI REMATORE BERNARDO 08 04 1986 COSTA SERINA  CODICE FISCALE
CODICE FISCALE V M9ZQ8 KPGFT AD ,  DATI ANAGRAFICI RENA BERNARDONE 1211 1978 COSTA VALLE IMAGNA  CODICE FISCALE
CODICE FISCALE Q6VIZSNDB 1 LJ U ,  DATI ANAGRAFICI RENDA BERNASCONI 0 4 8 2 2005 COSTA VESCOVATO  CODICE FISCALE
CODICE FISCALE ZQROKBJXVIWU9Y T ,  DATI ANAGRAFICI RENDINA BERNISTI 0 8 8 0 4 7 9 2  COSTA VOLPINO  CODICE FISCALE
CODICE FISCALE IMODSYTW9FN 6H P ,  DATI ANAGRAFICI RENGIOLI BERNO 6O4O1917 COSTABISSARA  CODICE FISCALE
CODICE FISCALE BSXDROVAM9LHKY 8 ,  DATI ANAGRAFICI RENISERIA BERNOCCHI 293O 1912 COSTACCIARO  CODICE FISCALE
CODICE FISCALE ZQGYXCPA  K5R 8T ,  DATI ANAGRAFICI RENNA BERRETTA  593 720O 8  COSTANZANA  CODICE FISCALE
CODICE FISCALE V 1LRZ 5N Y BA6J ,  DATI ANAGRAFICI RENZI BERRETTARI 09051994 COSTARAINERA  CODICE FISCALE
CODICE FISCALE M U GLKSW6IT1 Y  ,  DATI ANAGRAFICI REPETO BERRINI 01 01 1987 COSTERMANO SUL GARDA  CODICE FISCALE
CODICE FISCALE UC95AETWYP8SX DN ,  DATI ANAGRAFICI REPETTI BERRUTO 0710 1988 COSTIGLIOLE D'ASTI  CODICE FISCALE
CODICE FISCALE BU9KOP H 1ZWJFYQ ,  DATI ANAGRAFICI REPULO BERSARDI 2 O 1 5 2017 COSTIGLIOLE SALUZZO  CODICE FISCALE
CODICE FISCALE D A RQ  BGW56 HX ,  DATI ANAGRAFICI RERITTE BERTACCO 6 0 1 5 7 6 8 5  COTIGNOLA  CODICE FISCALE
CODICE FISCALE YEJ61 KBDRTN 8SM ,  DATI ANAGRAFICI RESCELI BERTAGNIN 4O421910 COTRONEI  CODICE FISCALE
CODICE FISCALE FV18DCSY OAKIWH  ,  DATI ANAGRAFICI RESCELIO BERTANZA 408O 1912 COTTANELLO  CODICE FISCALE
CODICE FISCALE XWJV R5MQBDIK AF ,  DATI ANAGRAFICI RESEGOTTI BERTAZINI 38 916 O720 COURMAYEUR  CODICE FISCALE
CODICE FISCALE CO 1JHLVXK WB PG ,  DATI ANAGRAFICI RESELINO BERTELLI 04111984 COVO  CODICE FISCALE
CODICE FISCALE   OD   ZUY59IQ6X ,  DATI ANAGRAFICI RESENELO BERTELLO 25 10 1920 COZZO  CODICE FISCALE
CODICE FISCALE 1OGC NKFQTL5 YD  ,  DATI ANAGRAFICI RESTAINO BERTI 3003 1908 CRACO  CODICE FISCALE
CODICE FISCALE TO  B CPVLFHRISM ,  DATI ANAGRAFICI RESTIVO BERTINAGLIA 2 1 3 1 2013 CRANDOLA VALSASSINA  CODICE FISCALE
CODICE FISCALE JVK HPGNBW UITF  ,  DATI ANAGRAFICI RETTORE BERTINARI 0 3 3 O 8 7 8 9  CRAVAGLIANA  CODICE FISCALE
CODICE FISCALE Q VDHS8UO5ICM6TN ,  DATI ANAGRAFICI REVERE BERTINI 250O1913 CRAVANZANA  CODICE FISCALE
CODICE FISCALE  P9T DJSU GL NF6 ,  DATI ANAGRAFICI REZNO BERTO O050 1902 CRAVEGGIA  CODICE FISCALE
CODICE FISCALE 8 KX FILYTB UM5N ,  DATI ANAGRAFICI REZZA BERTOCCO O  258O1 79 CREAZZO  CODICE FISCALE
CODICE FISCALE UHYZD6 GM1 QWIFV ,  DATI ANAGRAFICI REZZO BERTOLANI 12041974 CRECCHIO  CODICE FISCALE
CODICE FISCALE 1U S HQZVC IB5EW ,  DATI ANAGRAFICI REZZUTO BERTOLATTO 09 01 1900 CREDARO  CODICE FISCALE
CODICE FISCALE 5YLNKU S1VXP   G ,  DATI ANAGRAFICI RIBALDI BERTOLI 0908 1983 CREDERA RUBBIANO  CODICE FISCALE
CODICE FISCALE 1 TKP J WV   GXL ,  DATI ANAGRAFICI RIBALDO BERTOLINI 1 3 5 5 2006 CREMA  CODICE FISCALE
CODICE FISCALE ME N9O8S Y ZHKJG ,  DATI ANAGRAFICI RIBANDO BERTOLINO 7 0 5 2 9 O 0 O  CREMELLA  CODICE FISCALE
CODICE FISCALE MLI SAYTFR9U8KCD ,  DATI ANAGRAFICI RIBANITO BERTOLOTTI 5O221908 CREMENAGA  CODICE FISCALE
CODICE FISCALE CL 9GI 8ABHZ 1WX ,  DATI ANAGRAFICI RIBAUDO BERTONI 4290 1919 CREMENO  CODICE FISCALE
CODICE FISCALE L RKEJ Z HGNO DA ,  DATI ANAGRAFICI RIBERA BERTOZZI O 07 6O5298  CREMIA  CODICE FISCALE
CODICE FISCALE DAKWEU 6S ZXVH8  ,  DATI ANAGRAFICI RIBONI BERTUCCI 26041928 CREMOLINO  CODICE FISCALE
CODICE FISCALE KVP618  BZGUIOH  ,  DATI ANAGRAFICI RICA BERTUCCO 21 04 1999 CREMONA  CODICE FISCALE
CODICE FISCALE JMC1UB F OAVQZSI ,  DATI ANAGRAFICI RICARDO BERTUCI 1005 1965 CREMOSANO  CODICE FISCALE
CODICE FISCALE QIAW6 TPS9NU  1E ,  DATI ANAGRAFICI RICASOLI BERTUCIO 3 5 O 9 2004 CRESCENTINO  CODICE FISCALE
CODICE FISCALE BYJW8 EIMCZOLXKD ,  DATI ANAGRAFICI RICATTA BERZOLARI 2 O O 9 O 3 1 0  CRESPADORO  CODICE FISCALE
CODICE FISCALE S9WDNI HCK1AVL Q ,  DATI ANAGRAFICI RICCA BESAZZA 3O961911 CRESPANO DEL GRAPPA  CODICE FISCALE
CODICE FISCALE FJI 9 R85SHLN ZK ,  DATI ANAGRAFICI RICCARDI BESCARDE O479 1905 CRESPIATICA  CODICE FISCALE
CODICE FISCALE BQCYMUP FRO8W DH ,  DATI ANAGRAFICI RICCHETTI BESESTI 4 1 89O5 6 0 CRESPINA LORENZANA  CODICE FISCALE
CODICE FISCALE UKMLY R1TSDEQ X8 ,  DATI ANAGRAFICI RICCHIUTI BESSASSA 21101979 CRESPINO  CODICE FISCALE
CODICE FISCALE  8KOGY1E9W NI MH ,  DATI ANAGRAFICI RICCHIUTO BESSI 06 06 1918 CRESSA  CODICE FISCALE
CODICE FISCALE IKAVYBD L1MGS F8 ,  DATI ANAGRAFICI RICCI BESSIM 1602 1911 CREVACUORE  CODICE FISCALE
CODICE FISCALE  6AL98H WVZKB1Q5 ,  DATI ANAGRAFICI RICCIARDI BESSO 9 0 0 O 2007 CREVALCORE  CODICE FISCALE
CODICE FISCALE B96QVZY W CFXRMI ,  DATI ANAGRAFICI RICCIERI BETA 9 7 6 1 2 0 O 7  CREVOLADOSSOLA  CODICE FISCALE
