CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE 1OM Q6DB9HZ8NTU  ,  DATI ANAGRAFICI PORTIERO BANDITI <START:DOB>   O2 34510879 <END> CHIUSA DI PESIO  CODICE FISCALE
CODICE FISCALE RF BNH6XZJ 9 LPK ,  DATI ANAGRAFICI PORTINARI BANDUCCI <START:DOB> 27021929 <END> CHIUSA DI SAN MICHELE  CODICE FISCALE
CODICE FISCALE 5 8ZFQ VN1MW KPO ,  DATI ANAGRAFICI PORTINCASA BANETTI <START:DOB> 10 10 1907 <END> CHIUSA SCLAFANI  CODICE FISCALE
CODICE FISCALE I E96UPTO ZYQRLJ ,  DATI ANAGRAFICI PORTOGALLO BANFANTI <START:DOB> 2801 1937 <END> CHIUSAFORTE  CODICE FISCALE
CODICE FISCALE UMTZSA P GC5QJIY ,  DATI ANAGRAFICI PORTOGHESE BANNES <START:DOB> 0 O 3 9 2007 <END> CHIUSANICO  CODICE FISCALE
CODICE FISCALE  BVMF9SCX1DW8O 5 ,  DATI ANAGRAFICI PORTULANO BARABERI <START:DOB> O 6 8 3 9 O 2 6  <END> CHIUSANO D'ASTI  CODICE FISCALE
CODICE FISCALE H Z CXVTMY81 AUF ,  DATI ANAGRAFICI POSADA BARACCA <START:DOB> 9OO91913 <END> CHIUSANO DI SAN DOMENICO  CODICE FISCALE
CODICE FISCALE 6MPDN8W EOHR 9K  ,  DATI ANAGRAFICI POSITERO BARAGGIA <START:DOB> O337 1908 <END> CHIUSAVECCHIA  CODICE FISCALE
CODICE FISCALE EY6SBVMK  TU DPZ ,  DATI ANAGRAFICI POSSENTI BARAGGIOLI <START:DOB>  21 3 7  08 <END> CHIUSDINO  CODICE FISCALE
CODICE FISCALE M PZUNO RW5A 9FS ,  DATI ANAGRAFICI POSSUMATO BARAMONTE <START:DOB> 07021900 <END> CHIUSI  CODICE FISCALE
CODICE FISCALE   B6DC I9A FRM1  ,  DATI ANAGRAFICI POSTERARO BARASA <START:DOB> 03 04 1942 <END> CHIUSI DELLA VERNA  CODICE FISCALE
CODICE FISCALE DOR8QHVFB9ESKUJP ,  DATI ANAGRAFICI POSTICELLI BARASSI <START:DOB> 2201 1913 <END> CHIVASSO  CODICE FISCALE
CODICE FISCALE G9Y H DI1UVKQMPN ,  DATI ANAGRAFICI POSTIGLIONE BARATTA <START:DOB> 7 6 O 1 2019 <END> CIAMPINO  CODICE FISCALE
CODICE FISCALE JOQ M LRTUNKWF 1 ,  DATI ANAGRAFICI POSTINELLI BARAU <START:DOB> 7 O 1 0 6 O 4 4  <END> CIANCIANA  CODICE FISCALE
CODICE FISCALE ZSEX WOTB8159CHI ,  DATI ANAGRAFICI POTENZA BARAVALLE <START:DOB> 13061915 <END> CIBIANA DI CADORE  CODICE FISCALE
CODICE FISCALE ILA V9TFPO 8WGQ  ,  DATI ANAGRAFICI POTEROZA BARAZZOLI <START:DOB> 1O9O 1915 <END> CICAGNA  CODICE FISCALE
CODICE FISCALE V59U JTQADZXN86M ,  DATI ANAGRAFICI POTONI BARAZZOTTI <START:DOB>    3197O02O4 <END> CICALA  CODICE FISCALE
CODICE FISCALE GN VT ERAJUMW  Y ,  DATI ANAGRAFICI POTTAZANA BARBABIANCA <START:DOB> 06051953 <END> CICCIANO  CODICE FISCALE
CODICE FISCALE 6CBV YXKARPNJH Q ,  DATI ANAGRAFICI POTTINI BARBADORO <START:DOB> 25 06 1967 <END> CICERALE  CODICE FISCALE
CODICE FISCALE  TBVGF D A Z UNP ,  DATI ANAGRAFICI POTTRONE BARBAGALLO <START:DOB> 0608 1920 <END> CICILIANO  CODICE FISCALE
CODICE FISCALE THDAF 5MG 6QEK8N ,  DATI ANAGRAFICI POTUTO BARBAGELATA <START:DOB> 7 9 4 3 2006 <END> CICOGNOLO  CODICE FISCALE
CODICE FISCALE  1OZBUVR9TNDC  F ,  DATI ANAGRAFICI POUEPUITO BARBA–I <START:DOB> O O 1 5 4 O 4 2  <END> CICONIO  CODICE FISCALE
CODICE FISCALE OXFC6VENTSR Y8AJ ,  DATI ANAGRAFICI POUZO BARBALARGA <START:DOB> 83261918 <END> CIGLIANO  CODICE FISCALE
CODICE FISCALE I8CV 9F W1M5LEHZ ,  DATI ANAGRAFICI POVENZANO BARBALISCIA <START:DOB> 4313 1904 <END> CIGLIÈ  CODICE FISCALE
CODICE FISCALE USTKYO9XFHZ IPJR ,  DATI ANAGRAFICI POVERO BARBANEGRA <START:DOB> 0528176O    <END> CIGOGNOLA  CODICE FISCALE
CODICE FISCALE AVDXE8WPFNM15U 9 ,  DATI ANAGRAFICI POVEROMO BARBANERA <START:DOB> 22051975 <END> CIGOLE  CODICE FISCALE
CODICE FISCALE BYER1  5MTDX WF  ,  DATI ANAGRAFICI POVEROSO BARBANO <START:DOB> 15 04 1925 <END> CILAVEGNA  CODICE FISCALE
CODICE FISCALE 1T NPQWY5FLBXG 6 ,  DATI ANAGRAFICI POVETTO BARBANTINI <START:DOB> 0310 1975 <END> CIMADOLMO  CODICE FISCALE
CODICE FISCALE EWYOQ1KX H Z58SV ,  DATI ANAGRAFICI POVOLO BARBAPICCOLA <START:DOB> 0 0 7 6 2017 <END> CIMBERGO  CODICE FISCALE
CODICE FISCALE YVWP89B6QFXTNUA  ,  DATI ANAGRAFICI POZZETTI BARBARA <START:DOB> 7 5 0 1 8 2 0 1  <END> CIMINÀ  CODICE FISCALE
CODICE FISCALE  QLOBEW61C5AZKHD ,  DATI ANAGRAFICI POZZI BARBARICCIA <START:DOB> 108O1913 <END> CIMINNA  CODICE FISCALE
CODICE FISCALE  ZAWL SD1R6EMHXK ,  DATI ANAGRAFICI POZZO BARBARIGO <START:DOB> O875 1918 <END> CIMITILE  CODICE FISCALE
CODICE FISCALE  B8ZONQX 6RPSM9K ,  DATI ANAGRAFICI POZZOLI BARBARINO <START:DOB> 4 5920OO8   <END> CIMOLAIS  CODICE FISCALE
CODICE FISCALE RKP9   J1BED58GA ,  DATI ANAGRAFICI POZZONE BARBARITO <START:DOB> 25101966 <END> CIMONE  CODICE FISCALE
CODICE FISCALE HEY 9R1SKMUWFC I ,  DATI ANAGRAFICI PRÀ BARBARO <START:DOB> 07 08 1988 <END> CINAGLIO  CODICE FISCALE
CODICE FISCALE PNQDCKUIM1WXSTYZ ,  DATI ANAGRAFICI PRAINO BARBARONE <START:DOB> 1901 1998 <END> CINETO ROMANO  CODICE FISCALE
CODICE FISCALE  XPAUQOV YKS56WD ,  DATI ANAGRAFICI PRAJA BARBAROSSA <START:DOB> 3 4 4 5 2012 <END> CINGIA DE' BOTTI  CODICE FISCALE
CODICE FISCALE PTEV8  6ROM5YCF  ,  DATI ANAGRAFICI PRAM BARBAROTTA <START:DOB> O O 5 3 9 1 3 3  <END> CINGOLI  CODICE FISCALE
CODICE FISCALE MP  A 8YL6 5KOXH ,  DATI ANAGRAFICI PRAROITA BARBARUTO <START:DOB> 88O61917 <END> CINIGIANO  CODICE FISCALE
CODICE FISCALE OTH Y 98QX FZJ B ,  DATI ANAGRAFICI PRASRAUCO BARBATO <START:DOB> 16O2 1910 <END> CINISELLO BALSAMO  CODICE FISCALE
CODICE FISCALE OR1 S HT8 WJPV6N ,  DATI ANAGRAFICI PRAVATA BARBATOSTA <START:DOB>  3O9O10528674 <END> CINISI  CODICE FISCALE
CODICE FISCALE 695KB8QUSRJDWP A ,  DATI ANAGRAFICI PRCRETTO BARBAZIO <START:DOB> 03081968 <END> CINO  CODICE FISCALE
CODICE FISCALE Z9XIMPLR1 SWG6D5 ,  DATI ANAGRAFICI PREMONTE BARBENSI <START:DOB> 24 02 1934 <END> CINQUEFRONDI  CODICE FISCALE
CODICE FISCALE 9GUQIEC Y F H B5 ,  DATI ANAGRAFICI PRENPATO BARBER <START:DOB> 0905 1916 <END> CINTANO  CODICE FISCALE
CODICE FISCALE 8OHMUI  6K1FS BY ,  DATI ANAGRAFICI PRESTESIMONO BARBERA <START:DOB> 3 3 O 4 2012 <END> CINTE TESINO  CODICE FISCALE
CODICE FISCALE HMWEVZTC6 QDK1 9 ,  DATI ANAGRAFICI PRESTIA BARBERIO <START:DOB> 3 6 O 1 9 2 0 6  <END> CINTO CAOMAGGIORE  CODICE FISCALE
CODICE FISCALE B6IKQWF1 P UOG9S ,  DATI ANAGRAFICI PRESTIGIACOMO BARBERO <START:DOB> 86O41907 <END> CINTO EUGANEO  CODICE FISCALE
CODICE FISCALE 8XSUWE ZK9BMT 5F ,  DATI ANAGRAFICI PRESTISIONE BARBI <START:DOB> 3970 1912 <END> CINZANO  CODICE FISCALE
CODICE FISCALE 61LJVA S9PB5ZI O ,  DATI ANAGRAFICI PRETE BARBIERA <START:DOB>  619 30 O87  <END> CIORLANO  CODICE FISCALE
CODICE FISCALE   TFGQLKVXA PESU ,  DATI ANAGRAFICI PREVITE BARBIERI <START:DOB> 22011952 <END> CIPRESSA  CODICE FISCALE
CODICE FISCALE DEO UGIVHQ CTXJP ,  DATI ANAGRAFICI PRIARARO BARBISIO <START:DOB> 14 08 1900 <END> CIRCELLO  CODICE FISCALE
CODICE FISCALE LY9 5P WNJ MK IS ,  DATI ANAGRAFICI PRIAZO BARBIZZOLI <START:DOB> 2408 1916 <END> CIRIÉ  CODICE FISCALE
CODICE FISCALE N1 HG98 XL VFMUZ ,  DATI ANAGRAFICI PRIETRA BARBOLLA <START:DOB> 4 1 8 6 2002 <END> CIRIGLIANO  CODICE FISCALE
CODICE FISCALE UGFDIMACKN   EQX ,  DATI ANAGRAFICI PRIMA BARBONE <START:DOB> 8 4 7 7 5 5 5 2  <END> CIRIMIDO  CODICE FISCALE
CODICE FISCALE MF JQ Y ETGO1DBP ,  DATI ANAGRAFICI PRIMIO BARBORA <START:DOB> 74831901 <END> CIRÒ  CODICE FISCALE
CODICE FISCALE 8MNLWVPBUOXDC AG ,  DATI ANAGRAFICI PRIMO BARCA <START:DOB> 6O29 1912 <END> CIRÒ MARINA  CODICE FISCALE
CODICE FISCALE 8KR 1GNYZ JP  IA ,  DATI ANAGRAFICI PRIOLO BARCAI <START:DOB> 486951O7  2 <END> CIS  CODICE FISCALE
CODICE FISCALE  TYADVIUJRW9 C   ,  DATI ANAGRAFICI PRIOSE BARCARO <START:DOB> 06041913 <END> CISANO BERGAMASCO  CODICE FISCALE
CODICE FISCALE JO 1B 9 CYSTPNZK ,  DATI ANAGRAFICI PRIVETERA BARCAROLI <START:DOB> 20 02 1919 <END> CISANO SUL NEVA  CODICE FISCALE
CODICE FISCALE GV AJDFQ1RN ZSMH ,  DATI ANAGRAFICI PRIVITERA BARCATA <START:DOB> 1009 1998 <END> CISERANO  CODICE FISCALE
CODICE FISCALE NX CY5FIBPTVUJ9L ,  DATI ANAGRAFICI PRIZZI BARCELLI <START:DOB> 1 O 9 3 2005 <END> CISLAGO  CODICE FISCALE
CODICE FISCALE MLN V5G BHK OJ6C ,  DATI ANAGRAFICI PROELLO BARCELLONA <START:DOB> 8 6 5 O 4 O 3 5  <END> CISLIANO  CODICE FISCALE
CODICE FISCALE LPSEFK9WB AJC6 Q ,  DATI ANAGRAFICI PROFUMO BARCELLONE <START:DOB> 6O121902 <END> CISMON DEL GRAPPA  CODICE FISCALE
CODICE FISCALE E HU WKAB9NTJ 1O ,  DATI ANAGRAFICI PROIETTI BARCELONA <START:DOB> 1783 1912 <END> CISON DI VALMARINO  CODICE FISCALE
CODICE FISCALE QJUS8 A  6 IEOG1 ,  DATI ANAGRAFICI PROIETTOSI BARCELONE <START:DOB> 68OO23 479 10 <END> CISSONE  CODICE FISCALE
CODICE FISCALE XHF8OML5NKC6   A ,  DATI ANAGRAFICI PROITTA BARCHETTI <START:DOB> 09021950 <END> CISTERNA D'ASTI  CODICE FISCALE
CODICE FISCALE AZ  OS D 8XU HQY ,  DATI ANAGRAFICI PROLA BARCIA <START:DOB> 15 06 1905 <END> CISTERNA DI LATINA  CODICE FISCALE
CODICE FISCALE 6 FS1I5   MZWJLV ,  DATI ANAGRAFICI PROLO BARDARI <START:DOB> 1410 1937 <END> CISTERNINO  CODICE FISCALE
CODICE FISCALE KNO SAFQ86ETYCX5 ,  DATI ANAGRAFICI PRORETTO BARDELLA <START:DOB> 4 1 O 3 2014 <END> CITERNA  CODICE FISCALE
CODICE FISCALE TN18R  Z9EYBVWUL ,  DATI ANAGRAFICI PROSETTO BARDI <START:DOB> 4 0 3 9 7 8 O 0  <END> CITTÀ DELLA PIEVE  CODICE FISCALE
CODICE FISCALE 8M RCIW1L 5 SQNH ,  DATI ANAGRAFICI PROSITOTTE BARDO <START:DOB> 98761904 <END> CITTÀ DI CASTELLO  CODICE FISCALE
CODICE FISCALE XWKTA8QM 69ZGHBN ,  DATI ANAGRAFICI PROSPERI BARDOTTI <START:DOB> 1346 1902 <END> CITTÀ SANT'ANGELO  CODICE FISCALE
CODICE FISCALE P LT9ESU8Y FJA 6 ,  DATI ANAGRAFICI PROTOPAPA BAREA <START:DOB>  O04 7 123  <END> CITTADELLA  CODICE FISCALE
CODICE FISCALE 6KCPLYHGAJ9QEMW  ,  DATI ANAGRAFICI PROVATA BARECA <START:DOB> 19101929 <END> CITTADUCALE  CODICE FISCALE
CODICE FISCALE I WCPVL8 DJ UQXA ,  DATI ANAGRAFICI PROVENSA BARESI <START:DOB> 17 01 1926 <END> CITTANOVA  CODICE FISCALE
CODICE FISCALE YP1  UC Z 8WDVFJ ,  DATI ANAGRAFICI PROVENZA BARETTI <START:DOB> 0405 1999 <END> CITTAREALE  CODICE FISCALE
CODICE FISCALE  LBZ5DG19IR 6CYU ,  DATI ANAGRAFICI PROVENZANO BARETTO <START:DOB> 7 8 6 1 2019 <END> CITTIGLIO  CODICE FISCALE
CODICE FISCALE L E6N5WB8SORZ MP ,  DATI ANAGRAFICI PROVENZARIO BARGELLI <START:DOB> 0 O 8 9 0 9 O 7  <END> CIVATE  CODICE FISCALE
CODICE FISCALE TSUG EXZ51LFH R  ,  DATI ANAGRAFICI PROVETTA BARGO <START:DOB> O3O31913 <END> CIVEZZA  CODICE FISCALE
CODICE FISCALE L GE91Q JAC U DM ,  DATI ANAGRAFICI PROVIDENCA BARGONE <START:DOB> 256O 1908 <END> CIVEZZANO  CODICE FISCALE
CODICE FISCALE  F P TJXLVE6G 9I ,  DATI ANAGRAFICI PROZANA BARIA <START:DOB>  O1327  8 9 <END> CIVIASCO  CODICE FISCALE
CODICE FISCALE OF6BVEG8 RTJCNA  ,  DATI ANAGRAFICI PRUSSARA BARICA <START:DOB> 02041929 <END> CIVIDALE DEL FRIULI  CODICE FISCALE
CODICE FISCALE NBOLSJMWCXEDHZ   ,  DATI ANAGRAFICI PRUSSO BARILE <START:DOB> 24 08 1911 <END> CIVIDATE AL PIANO  CODICE FISCALE
CODICE FISCALE  IMH9CA DRVZPKNS ,  DATI ANAGRAFICI PUASTERI PUCCI BARILLARI <START:DOB> 2310 1913 <END> CIVIDATE CAMUNO  CODICE FISCALE
CODICE FISCALE SQICWJ8EOMBNL9Z  ,  DATI ANAGRAFICI PUCCIA BARINETTI <START:DOB> 9 5 5 8 2011 <END> CIVITA  CODICE FISCALE
CODICE FISCALE YK 5WAUDP TRMIZE ,  DATI ANAGRAFICI PUCCIANTI BARINETTO <START:DOB> 2 0 3 1 O 9 4 0  <END> CIVITA CASTELLANA  CODICE FISCALE
CODICE FISCALE FVRB8UEIL H J9PS ,  DATI ANAGRAFICI PUCCIARELLI BARINO <START:DOB> 13531914 <END> CIVITA D'ANTINO  CODICE FISCALE
CODICE FISCALE CYIU15FKMNLA6ZSG ,  DATI ANAGRAFICI PUCCIARELLO BARIOLA <START:DOB> 269O 1900 <END> CIVITACAMPOMARANO  CODICE FISCALE
CODICE FISCALE F6ZCYU KGQT95 VS ,  DATI ANAGRAFICI PUCCIO BARISOS <START:DOB> 36 O O018  7 <END> CIVITALUPARELLA  CODICE FISCALE
CODICE FISCALE INAZJT1G6XPLRF H ,  DATI ANAGRAFICI PUCINELLI BARLONE <START:DOB> 30021934 <END> CIVITANOVA DEL SANNIO  CODICE FISCALE
CODICE FISCALE RHANYPO  I1QZDK  ,  DATI ANAGRAFICI PUDDU BARLOTOLLO <START:DOB> 23 09 1971 <END> CIVITANOVA MARCHE  CODICE FISCALE
CODICE FISCALE V 91NHYOR DJ6ZU  ,  DATI ANAGRAFICI PUGLIA BARNA <START:DOB> 1601 1982 <END> CIVITAQUANA  CODICE FISCALE
CODICE FISCALE  I8 WF A6LVOU D  ,  DATI ANAGRAFICI PUGLIARES BARNABA <START:DOB> O 8 4 O 2018 <END> CIVITAVECCHIA  CODICE FISCALE
CODICE FISCALE 8NTFAE6HM BIS 5Y ,  DATI ANAGRAFICI PUGLIESE BAROJA <START:DOB> 0 O 5 7 6 1 2 1  <END> CIVITELLA ALFEDENA  CODICE FISCALE
CODICE FISCALE LMHSYKEG 9D  UIR ,  DATI ANAGRAFICI PUGLISE BAROLA <START:DOB> 49581904 <END> CIVITELLA CASANOVA  CODICE FISCALE
CODICE FISCALE  SK O ZIM ATP5HY ,  DATI ANAGRAFICI PUGLISI BARONA <START:DOB> 9808 1917 <END> CIVITELLA D'AGLIANO  CODICE FISCALE
CODICE FISCALE I6EH  JWP9O MFAD ,  DATI ANAGRAFICI PUGNALI BARONE <START:DOB> 84 2O61  079 <END> CIVITELLA DEL TRONTO  CODICE FISCALE
CODICE FISCALE QMWHO FKV XA9ZS  ,  DATI ANAGRAFICI PUGNATORE BARONEOLLA <START:DOB> 15031919 <END> CIVITELLA DI ROMAGNA  CODICE FISCALE
CODICE FISCALE EQTADJRZ 9O V 1F ,  DATI ANAGRAFICI PUGNI BARONI <START:DOB> 12 03 1966 <END> CIVITELLA IN VAL DI CHIANA  CODICE FISCALE
CODICE FISCALE CW1J 8 OXZKAQHPD ,  DATI ANAGRAFICI PUGNO BARORCI <START:DOB> 1402 1907 <END> CIVITELLA MESSER RAIMONDO  CODICE FISCALE
CODICE FISCALE  RD FWIM8JHO6LNC ,  DATI ANAGRAFICI PUGORI PUIZZO BAROTTO <START:DOB> 0 3 3 0 2004 <END> CIVITELLA PAGANICO  CODICE FISCALE
CODICE FISCALE FVY A  QXI8W9NS6 ,  DATI ANAGRAFICI PULCI BAROZZI <START:DOB> 6 O 4 5 3 9 0 5  <END> CIVITELLA ROVETO  CODICE FISCALE
CODICE FISCALE X WPSGOV 6IEKF T ,  DATI ANAGRAFICI PULCINO BARRA <START:DOB> 8O741919 <END> CIVITELLA SAN PAOLO  CODICE FISCALE
CODICE FISCALE    WDQHARFGN5E U ,  DATI ANAGRAFICI PULEGA BARRACCA <START:DOB> 1070 1919 <END> CIVO  CODICE FISCALE
CODICE FISCALE A OPQSXCB9R5FH6  ,  DATI ANAGRAFICI PULEO BARRACCHINO <START:DOB> 8 01 O  59O4 <END> CLAINO CON OSTENO  CODICE FISCALE
CODICE FISCALE ZD5Y VBNA XWSHQJ ,  DATI ANAGRAFICI PULICCICHIO BARRACO <START:DOB> 14101986 <END> CLAUT  CODICE FISCALE
CODICE FISCALE PG  5SW H6LTOMZD ,  DATI ANAGRAFICI PULICE BARRAINO <START:DOB> 01 03 1938 <END> CLAUZETTO  CODICE FISCALE
CODICE FISCALE MK 8UFA 91JIHO C ,  DATI ANAGRAFICI PULIDO BARRANCA <START:DOB> 2505 1935 <END> CLAVESANA  CODICE FISCALE
CODICE FISCALE NK  IHLTD QUA9MS ,  DATI ANAGRAFICI PULIGHEDDU BARRANCO <START:DOB> O 5 2 O 2012 <END> CLAVIERE  CODICE FISCALE
CODICE FISCALE 8R9MOJ YWE6NH LB ,  DATI ANAGRAFICI PULIO BARRANCOLO <START:DOB> 9 8 2 2 9 1 2 O  <END> CLES  CODICE FISCALE
CODICE FISCALE QF 9V A5HN OLJCS ,  DATI ANAGRAFICI PULISE BARRANIO <START:DOB> 01341911 <END> CLETO  CODICE FISCALE
CODICE FISCALE J S GBNQC TZFWI9 ,  DATI ANAGRAFICI PULITO BARRANO <START:DOB> O967 1907 <END> CLIVIO  CODICE FISCALE
CODICE FISCALE SET8K 5XP1COV6UL ,  DATI ANAGRAFICI PULLO BARRASHANO <START:DOB> 2 0 96543 O1 <END> CLOZ  CODICE FISCALE
CODICE FISCALE FW  HCGYXJU  ZBL ,  DATI ANAGRAFICI PUMA BARRATUCCI <START:DOB> 29081994 <END> CLUSONE  CODICE FISCALE
CODICE FISCALE D  9U HTPYNOQB6M ,  DATI ANAGRAFICI PUMETA BARRETTA <START:DOB> 24 11 1963 <END> COASSOLO TORINESE  CODICE FISCALE
CODICE FISCALE 5 ILS MGP QCW9VA ,  DATI ANAGRAFICI PUMICE BARRIERA <START:DOB> 3004 1909 <END> COAZZE  CODICE FISCALE
CODICE FISCALE SX T8M5KCE BN6L  ,  DATI ANAGRAFICI PUMO BARRUCCHERI <START:DOB> 7 9 4 9 2004 <END> COAZZOLO  CODICE FISCALE
CODICE FISCALE R F6KP9D1TIOQYLB ,  DATI ANAGRAFICI PUMTILLO PUNGIBUOI BARRY <START:DOB> O 4 O 9 3 3 6 7  <END> COCCAGLIO  CODICE FISCALE
CODICE FISCALE GDWAV 6CYXEQTPFJ ,  DATI ANAGRAFICI PUNGILEONE BARSACATO <START:DOB> 5O921903 <END> COCCONATO  CODICE FISCALE
CODICE FISCALE JAO HWS Z5KL9IEG ,  DATI ANAGRAFICI PUNGITORE BARSELLAMO <START:DOB> O82O 1917 <END> COCQUIO-TREVISAGO  CODICE FISCALE
CODICE FISCALE 9HVF1RQ YM 8ZTNG ,  DATI ANAGRAFICI PUNTA BARSILUCCI <START:DOB> 05912  34 8 7 <END> COCULLO  CODICE FISCALE
CODICE FISCALE 61AHRCKZ YWMJV Q ,  DATI ANAGRAFICI PUNTALORO BARSSO <START:DOB> 11031926 <END> CODEVIGO  CODICE FISCALE
CODICE FISCALE 58T ISDR9OFAE GK ,  DATI ANAGRAFICI PUNTONI BARTIVO <START:DOB> 22 06 1944 <END> CODEVILLA  CODICE FISCALE
CODICE FISCALE Z RS PDQAXM1GHCB ,  DATI ANAGRAFICI PUPPOULIVATA BARTOLEMEO <START:DOB> 1104 1985 <END> CODIGORO  CODICE FISCALE
CODICE FISCALE GAI VNSM5RCWT9Y1 ,  DATI ANAGRAFICI PURCELLI BARTOLI <START:DOB> 7 7 9 0 2005 <END> CODOGNÉ  CODICE FISCALE
CODICE FISCALE AR S CWE9ZBUP5 H ,  DATI ANAGRAFICI PURCELLO BARTOLINA <START:DOB> 4 O 5 7 1 3 9 4  <END> CODOGNO  CODICE FISCALE
CODICE FISCALE SCPQ8YH OT  KA9U ,  DATI ANAGRAFICI PURGATORIO BARTOLO <START:DOB> 840O1908 <END> CODROIPO  CODICE FISCALE
CODICE FISCALE U SAD6 G FEOHNR  ,  DATI ANAGRAFICI PURIFICATO BARTOLOMASI <START:DOB> 0500 1914 <END> CODRONGIANOS  CODICE FISCALE
CODICE FISCALE  HBXQY6 VUERZ LI ,  DATI ANAGRAFICI PURNFATO BARTOLOMEO <START:DOB> O51980  372 <END> COGGIOLA  CODICE FISCALE
CODICE FISCALE N68 XEOZWC GUSLR ,  DATI ANAGRAFICI PURNOLA BARTOLOMUCCI <START:DOB> 11101990 <END> COGLIATE  CODICE FISCALE
CODICE FISCALE F1EJP  VIZSLX6H  ,  DATI ANAGRAFICI PURPURA BARTOLOMUCCIO <START:DOB> 24 04 1901 <END> COGNE  CODICE FISCALE
CODICE FISCALE   KM W VN6 OG9IC ,  DATI ANAGRAFICI PURPUSA BARTOLOMUSCI <START:DOB> 1703 1970 <END> COGOLETO  CODICE FISCALE
CODICE FISCALE L G58R NSYXDK9ZW ,  DATI ANAGRAFICI PURRAZZELLO BARTOLOTTA <START:DOB> 4 5 7 9 2013 <END> COGOLLO DEL CENGIO  CODICE FISCALE
CODICE FISCALE HT   KQ8 SVLYFIZ ,  DATI ANAGRAFICI PUSAGIONI BARTOLUCCI <START:DOB> 3 0 6 O 4 O 6 3  <END> COGORNO  CODICE FISCALE
CODICE FISCALE J HYKI5SCRB DQTG ,  DATI ANAGRAFICI PUSATERE BARVANO <START:DOB> 629O1911 <END> COLAZZA  CODICE FISCALE
CODICE FISCALE IJXPVE8TOY CL  Q ,  DATI ANAGRAFICI QUAJNO BASACOMADRI <START:DOB> 6O27 1918 <END> COLERE  CODICE FISCALE
CODICE FISCALE 5R T61S GOJ QNWD ,  DATI ANAGRAFICI QUARANTA BASADONA <START:DOB> 8 7  0O 42O <END> COLFELICE  CODICE FISCALE
CODICE FISCALE  FH B68YREP5TDVA ,  DATI ANAGRAFICI QUARANTE BASANI <START:DOB> 25031976 <END> COLI  CODICE FISCALE
CODICE FISCALE Y8RC H1Z ETSQPIO ,  DATI ANAGRAFICI QUARANTELLI BASCETTA <START:DOB> 10 08 1948 <END> COLICO  CODICE FISCALE
CODICE FISCALE TXOIN  S81AJUBRY ,  DATI ANAGRAFICI QUARANTIELLO BASCIO <START:DOB> 0406 1934 <END> COLLALTO SABINO  CODICE FISCALE
CODICE FISCALE E Y9FJ5CBOIGUK   ,  DATI ANAGRAFICI QUARANTOTTO BASCO <START:DOB> 7 8 9 5 2012 <END> COLLARMELE  CODICE FISCALE
CODICE FISCALE GFIZ MPNYLOCH6 U ,  DATI ANAGRAFICI QUARELLI BASCUINO <START:DOB> 7 8 O O 9 8 6 0  <END> COLLAZZONE  CODICE FISCALE
CODICE FISCALE DJMFBLX8 6 ATR9I ,  DATI ANAGRAFICI QUARESIMA QUARTARARO BASETTI <START:DOB> OO821911 <END> COLLE BRIANZA  CODICE FISCALE
CODICE FISCALE LSXHGYRJWCBMIQ O ,  DATI ANAGRAFICI QUARTERARO BASICHE <START:DOB> 9284 1909 <END> COLLE D'ANCHISE  CODICE FISCALE
CODICE FISCALE  W   JCB5XSH PDR ,  DATI ANAGRAFICI QUARTI BASIGALIEPO <START:DOB> 5  781 O 9 43 <END> COLLE DI TORA  CODICE FISCALE
CODICE FISCALE WA DIET6P9MQFON  ,  DATI ANAGRAFICI QUARTINIE BASILE <START:DOB> 17111963 <END> COLLE DI VAL D'ELSA  CODICE FISCALE
CODICE FISCALE CFUJTBE XG YIO N ,  DATI ANAGRAFICI QUARTIUNO BASILICATA <START:DOB> 22 02 1901 <END> COLLE SAN MAGNO  CODICE FISCALE
CODICE FISCALE YV ISXUD91 N   B ,  DATI ANAGRAFICI QUARTO BASILICO <START:DOB> 0603 1945 <END> COLLE SANNITA  CODICE FISCALE
CODICE FISCALE 5OM9 HCZ R6YDVKL ,  DATI ANAGRAFICI QUATROCCHI BASILIO <START:DOB> 3 8 2 8 2000 <END> COLLE SANTA LUCIA  CODICE FISCALE
CODICE FISCALE EW6BY L 1MSZ R A ,  DATI ANAGRAFICI QUATTROCCHI QUATTROCELI BASILISCO <START:DOB> 0 6 4 4 5 4 8 9  <END> COLLE UMBERTO  CODICE FISCALE
CODICE FISCALE  A1 DQ5 EUKXLFVT ,  DATI ANAGRAFICI QUATTROCIOCCHI BASSET <START:DOB> OOO61917 <END> COLLEBEATO  CODICE FISCALE
CODICE FISCALE UCZF   B 9O5A XE ,  DATI ANAGRAFICI QUATTROMANI BASSI <START:DOB> 3541 1911 <END> COLLECCHIO  CODICE FISCALE
CODICE FISCALE QY G XOMIRD SPFK ,  DATI ANAGRAFICI QUATTROSOLDI BASSO <START:DOB> 21  O0 8 7 O <END> COLLECORVINO  CODICE FISCALE
CODICE FISCALE   T9NCEXFP5AOS8W ,  DATI ANAGRAFICI QUATTROUOMINI BASSOLI <START:DOB> 19101922 <END> COLLEDARA  CODICE FISCALE
