CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
ICE FISCALE  SZOXNMRCH8U1QWJ , ATI ANAGRAFICI DELLA PIANA RIZIANO 94131913 F CASALVIERI  <START:Prov> TV <END> CODICE FISCALE 
ICE FISCALE 1BZ8 HNS C EGR P , ATI ANAGRAFICI DELLA PIASTRA RENIO 020O 1909 F CASALVOLONE  <START:Prov> TS <END> CODICE FISCALE 
ICE FISCALE 1SBK CFJR5GZP6IE , ATI ANAGRAFICI DELLA QUERCIA REULO 7O  16809 32 F CASALZUIGNO  <START:Prov> TO <END> CODICE FISCALE 
ICE FISCALE CH U8PIOWDSN R6Y , ATI ANAGRAFICI DELLA RAGIONE RICCIARDO 10101954 F CASAMARCIANO  <START:Prov> UD <END> CODICE FISCALE 
ICE FISCALE PH GSACO X1 6R M , ATI ANAGRAFICI DELLA RATTA RIGER 11 07 1925 F CASAMASSIMA  <START:Prov> VA <END> CODICE FISCALE 
ICE FISCALE ZD1 5WTERSCMO9AL , ATI ANAGRAFICI DELLA SEGA RIODANTE 1104 1929 F CASAMICCIOLA TERME  <START:Prov> VE <END> CODICE FISCALE 
ICE FISCALE LFJM59OR 6C BKVH , ATI ANAGRAFICI DELLA SONAGLIA RIZIERE 7 1 5 9 2014 F CASANDRINO  <START:Prov> VB <END> CODICE FISCALE 
ICE FISCALE F69S1 JL8V U ZHP , ATI ANAGRAFICI DELLA STELLA RENIS 2 9 3 7 6 1 O O  F CASANOVA ELVO  <START:Prov> VC <END> CODICE FISCALE 
ICE FISCALE UFA6T5NYLKC1XJG  , ATI ANAGRAFICI DELLA TERZA REVEL 64O21902 F CASANOVA LERRONE  <START:Prov> VR <END> CODICE FISCALE 
ICE FISCALE HSXI9 1EN WBJQGF , ATI ANAGRAFICI DELLA TOMBA RICCIERI 3636 1909 M CASANOVA LONATI  <START:Prov> VV <END> CODICE FISCALE 
ICE FISCALE RBQTYJ1FG  PDK5H , ATI ANAGRAFICI DELLA TORRE RIGINALDO 13 0 7O  98 F CASAPE  <START:Prov> VI <END> CODICE FISCALE 
ICE FISCALE 9XS QJVTBPKF  RO , ATI ANAGRAFICI DELLA VALENTINA RIODE 04111957 M CASAPESENNA  <START:Prov> VT <END> CODICE FISCALE 
ICE FISCALE  SB LJVG Q 9PF1W , ATI ANAGRAFICI DELLA VEDOVA RIZIERI 26 07 1959 F CASAPINTA  <START:Prov> AG <END> CODICE FISCALE 
ICE FISCALE  DN9ISRM  JXZVKT , ATI ANAGRAFICI DELL’ACQUA RENNER 2209 1927 F CASAPROTA  <START:Prov> AL <END> CODICE FISCALE 
ICE FISCALE  CGNFW PMVY DK9T , ATI ANAGRAFICI DELL’AMORE REVILIO 7 2 3 3 2012 F CASAPULLA  <START:Prov> AN <END> CODICE FISCALE 
ICE FISCALE M XRYS QHATF  PB , ATI ANAGRAFICI DELL’ARGINE RICCIERO 1 0 8 O 0 O O 8  M CASARANO  <START:Prov> AO <END> CODICE FISCALE 
ICE FISCALE NMCEFPY1LUVZ5  H , ATI ANAGRAFICI DELL’ARMAIOLO RIGHETTO 74631907 F CASARGO  <START:Prov> AR <END> CODICE FISCALE 
ICE FISCALE L PW  QRYNBDU1 F , ATI ANAGRAFICI DELLE RIONERO 0568 1901 M CASARILE  <START:Prov> AP <END> CODICE FISCALE 
ICE FISCALE WPB1XRSN  F 98TI , ATI ANAGRAFICI DELLE CHIAE RIZIERO 6O7 3  8 415  F CASARSA DELLA DELIZIA  <START:Prov> AT <END> CODICE FISCALE 
ICE FISCALE NATKU G1 JXH BSZ , ATI ANAGRAFICI DELLE CHIAVI RENNO 15051932 F CASARZA LIGURE  <START:Prov> AV <END> CODICE FISCALE 
ICE FISCALE  1 9VIFT6DBLXKN  , ATI ANAGRAFICI DELLE GRAZIE REVO 29 06 1992 F CASASCO  <START:Prov> BA <END> CODICE FISCALE 
ICE FISCALE HTNL I JOW YB9E  , ATI ANAGRAFICI DELLE COLONNE RICCIO 0611 1979 F CASATENOVO  <START:Prov> BT <END> CODICE FISCALE 
ICE FISCALE IZTLH89PEM S YR  , ATI ANAGRAFICI DELLI RIGO 5 5 0 O 2006 M CASATISMA  <START:Prov> BL <END> CODICE FISCALE 
ICE FISCALE Q BXUF 5L6 N9YMC , ATI ANAGRAFICI DELLISANTI RIPALTA 8 8 O O 8 7 3 7  F CASAVATORE  <START:Prov> BN <END> CODICE FISCALE 
ICE FISCALE O6XBG95 V YL IRE , ATI ANAGRAFICI DELLO STROLOGO RIZZANO 26811908 M CASAZZA  <START:Prov> BG <END> CODICE FISCALE 
ICE FISCALE NXIOA TV5CD M6Q1 , ATI ANAGRAFICI DELL’OCA RENO 01OO 1905 F CASCIA  <START:Prov> BI <END> CODICE FISCALE 
ICE FISCALE 5G9Q WEJC1A  V S , ATI ANAGRAFICI DELL’OLIO REZIERE 34  7 190O 62 F CASCIAGO  <START:Prov> BO <END> CODICE FISCALE 
ICE FISCALE I5BMAZ PKC 6 QLV , ATI ANAGRAFICI DELL’ORFANO RICCIOTTI 14031904 F CASCIANA TERME LARI  <START:Prov> BZ <END> CODICE FISCALE 
ICE FISCALE ON 5 JCPHMRKDYSB , ATI ANAGRAFICI DELLORUSSO RIGOBERTO 06 05 1925 F CASCINA  <START:Prov> BS <END> CODICE FISCALE 
ICE FISCALE SJKE W X9OZDNI1V , ATI ANAGRAFICI DELLULLO RISCATTO 2604 1950 F CASCINETTE D'IVREA  <START:Prov> BR <END> CODICE FISCALE 
ICE FISCALE 5J SDQLZEBTGW  8 , ATI ANAGRAFICI DELL’UVA RIZZARDO 0 7 4 8 2013 F CASEI GEROLA  <START:Prov> CA <END> CODICE FISCALE 
ICE FISCALE VAP9O8 HWUITCLBK , ATI ANAGRAFICI DELMATTI RENSO 1 9 4 2 0 O 1 8  M CASELETTE  <START:Prov> CL <END> CODICE FISCALE 
ICE FISCALE X8ZQVJU 6T1PSGM  , ATI ANAGRAFICI DELMAURO REZIERI 410O1915 F CASELLA  <START:Prov> CB <END> CODICE FISCALE 
ICE FISCALE  6YU DSXZJ5AFB T , ATI ANAGRAFICI DELMERO RICCIOTTO O473 1913 F CASELLE IN PITTARI  <START:Prov> CI <END> CODICE FISCALE 
ICE FISCALE EZ HTLID CGU5WN9 , ATI ANAGRAFICI DELMONACO RIGOLETTO 65  721 4 80O F CASELLE LANDI  <START:Prov> CE <END> CODICE FISCALE 
ICE FISCALE D186UQTWM LB JCH , ATI ANAGRAFICI DELORENZO RISIERI 21081968 M CASELLE LURANI  <START:Prov> CT <END> CODICE FISCALE 
ICE FISCALE JP  V NG ASOUB 1 , ATI ANAGRAFICI DELOTTO RIZZERI 12 07 1950 M CASELLE TORINESE  <START:Prov> CZ <END> CODICE FISCALE 
ICE FISCALE FJB1S   Y69TUAVN , ATI ANAGRAFICI DELPI RENTO 1005 1988 M CASERTA  <START:Prov> CH <END> CODICE FISCALE 
ICE FISCALE 1RLIS  N FAMB WJ , ATI ANAGRAFICI DELPIZZO REZIERO 8 5 5 1 2008 M CASIER  <START:Prov> CO <END> CODICE FISCALE 
ICE FISCALE RPINSU M9D A OVY , ATI ANAGRAFICI DELPRIORE RICCO O 8 3 8 8 4 6 O  M CASIGNANA  <START:Prov> CS <END> CODICE FISCALE 
ICE FISCALE WBXVQMK 5CLTES J , ATI ANAGRAFICI DELSANTI RIGUCCIO 15191913 F CASINA  <START:Prov> CR <END> CODICE FISCALE 
ICE FISCALE Z9 85FJMRIVE1 TX , ATI ANAGRAFICI DELSANTO RISIERO 093O 1901 M CASIRATE D'ADDA  <START:Prov> KR <END> CODICE FISCALE 
ICE FISCALE YTSID9NGV P KZWL , ATI ANAGRAFICI DELSIGNORE RIZZERIO  2639O10 7  M CASLINO D'ERBA  <START:Prov> CN <END> CODICE FISCALE 
ICE FISCALE YOQ8 XF5RGZW6NLB , ATI ANAGRAFICI DELTORO RENUCCIO 26071945 F CASNATE CON BERNATE  <START:Prov> EN <END> CODICE FISCALE 
ICE FISCALE MYI1OJ T DGA6E5K , ATI ANAGRAFICI DELUCA REZIO 20 09 1962 F CASNIGO  <START:Prov> FM <END> CODICE FISCALE 
ICE FISCALE  L5M9HSTG1XDBO8  , ATI ANAGRAFICI DELUCCHI RICHELMO 1007 1903 F CASOLA DI NAPOLI  <START:Prov> FE <END> CODICE FISCALE 
ICE FISCALE JMY VPF Z9LXRGT6 , ATI ANAGRAFICI DELUCIO RILDO 2 3 6 9 2004 M CASOLA IN LUNIGIANA  <START:Prov> FI <END> CODICE FISCALE 
ICE FISCALE 8X6E  NBL1OKI UV , ATI ANAGRAFICI DELUIC RISMO 3 9 9 6 3 8 9 9  M CASOLA VALSENIO  <START:Prov> FG <END> CODICE FISCALE 
ICE FISCALE Y UH 9LKJFI6S GT , ATI ANAGRAFICI DELULLO RIZZI 37O01903 F CASOLE D'ELSA  <START:Prov> FC <END> CODICE FISCALE 
ICE FISCALE DJI1WAGE  TZNK8L , ATI ANAGRAFICI DELUSO RENUNZIO 8O01 1909 F CASOLI  <START:Prov> FR <END> CODICE FISCALE 
ICE FISCALE 1UZ NBGC OES8HD6 , ATI ANAGRAFICI DELUTIS REZZIERE 9O0  43O7  6 M CASORATE PRIMO  <START:Prov> GE <END> CODICE FISCALE 
ICE FISCALE U5WCTRK8XNELABIY , ATI ANAGRAFICI DELVECCHIO RICHETTO 20011906 M CASORATE SEMPIONE  <START:Prov> GO <END> CODICE FISCALE 
ICE FISCALE KNP D 5UGSCRX6QW , ATI ANAGRAFICI DELVINTISETTE RIMEDIO 20 10 1905 M CASOREZZO  <START:Prov> GR <END> CODICE FISCALE 
ICE FISCALE   ECKXH1QVROL9 N , ATI ANAGRAFICI DEMARCO RISMONDO 3006 1962 F CASORIA  <START:Prov> IM <END> CODICE FISCALE 
ICE FISCALE  5N6WB 8HMPA9 Z  , ATI ANAGRAFICI DEMARIA RIZZIERE 2 5 3 0 2000 F CASORZO  <START:Prov> IS <END> CODICE FISCALE 
ICE FISCALE FV1 C8XJYN 5OTI  , ATI ANAGRAFICI DEMARTINI RENZI 8 8 3 2 6 7 O 0  F CASPERIA  <START:Prov> SP <END> CODICE FISCALE 
ICE FISCALE 6BJONV8HMI91  ZR , ATI ANAGRAFICI DEMARTINO REZZIERI 057O1908 M CASPOGGIO  <START:Prov> AQ <END> CODICE FISCALE 
ICE FISCALE LO5KUYJEFVS R  B , ATI ANAGRAFICI DEMASO RICIOTTI 0316 1900 M CASSACCO  <START:Prov> LT <END> CODICE FISCALE 
ICE FISCALE CPS U8HX NKQTB F , ATI ANAGRAFICI DEMATTE RIMES  9OO 08136572 F CASSAGO BRIANZA  <START:Prov> LE <END> CODICE FISCALE 
ICE FISCALE U9ELBA1Y VCRWGQT , ATI ANAGRAFICI DEMATTEO RISOLUTO 30031968 F CASSANO ALL'IONIO  <START:Prov> LC <END> CODICE FISCALE 
ICE FISCALE V  1AGCHOKFUB8Y6 , ATI ANAGRAFICI DEMEO RIZZIERI 04 06 1971 F CASSANO D'ADDA  <START:Prov> LI <END> CODICE FISCALE 
ICE FISCALE XF 6  IPGDH1MTV8 , ATI ANAGRAFICI DEMILIA RENZINO 1105 1970 M CASSANO DELLE MURGE  <START:Prov> LO <END> CODICE FISCALE 
ICE FISCALE 98VRZYHWADC6TK E , ATI ANAGRAFICI DEMIRGION REZZIERO 1 6 O 4 2012 M CASSANO IRPINO  <START:Prov> LU <END> CODICE FISCALE 
ICE FISCALE EIUOQDKGZ5 YRM81 , ATI ANAGRAFICI DEMIRTINI RICO 3 2 0 2 O O 0 8  F CASSANO MAGNAGO  <START:Prov> MC <END> CODICE FISCALE 
ICE FISCALE HWA  JS1 KGPCLZ  , ATI ANAGRAFICI DEMMA RIMO 876O1911 F CASSANO SPINOLA  <START:Prov> MN <END> CODICE FISCALE 
ICE FISCALE  CZ  M IJDGK8PWE , ATI ANAGRAFICI DEMOSE RISORGI 316O 1914 F CASSANO VALCUVIA  <START:Prov> MS <END> CODICE FISCALE 
ICE FISCALE I COG F6 TMEABUD , ATI ANAGRAFICI DENA RIZZIERO 4193  72  8O M CASSARO  <START:Prov> MT <END> CODICE FISCALE 
ICE FISCALE Y TBFGO1UX8NCKR9 , ATI ANAGRAFICI DENARDI RENZIO 18081988 M CASSIGLIO  <START:Prov> VS <END> CODICE FISCALE 
ICE FISCALE NQSLJP EB A F  X , ATI ANAGRAFICI DENARO RIALDO 06 10 1984 F CASSINA DE' PECCHI  <START:Prov> ME <END> CODICE FISCALE 
ICE FISCALE  CLUP95HWZKTA1Y  , ATI ANAGRAFICI DENEGRI RICORDANO 0103 1934 F CASSINA RIZZARDI  <START:Prov> MI <END> CODICE FISCALE 
ICE FISCALE   LCMNPAQB68 ERU , ATI ANAGRAFICI DENICOLA RINALDI 0 0 3 5 2002 M CASSINA VALSASSINA  <START:Prov> MO <END> CODICE FISCALE 
ICE FISCALE  RAYT1OQCEULPS B , ATI ANAGRAFICI DENINA RISORTO 6 0 4 6 8 0 O 8  F CASSINASCO  <START:Prov> MB <END> CODICE FISCALE 
ICE FISCALE YSG5TX8EHO1 6UC  , ATI ANAGRAFICI DENISCO RIZZO 8O351913 F CASSINE  <START:Prov> NA <END> CODICE FISCALE 
ICE FISCALE  MQUT C FSXW EYH , ATI ANAGRAFICI DENOVO RENZO 9O7O 1915 M CASSINELLE  <START:Prov> NO <END> CODICE FISCALE 
ICE FISCALE 1F 9N  I KGR J8  , ATI ANAGRAFICI DENSI RIANO 92  180  O73 M CASSINETTA DI LUGAGNANO  <START:Prov> NU <END> CODICE FISCALE 
ICE FISCALE  S O6HVBGY IKWXF , ATI ANAGRAFICI DENTALE RICORDINO 30061915 F CASSINO  <START:Prov> OG <END> CODICE FISCALE 
ICE FISCALE  M1AQP YJ6 BEXNC , ATI ANAGRAFICI DENTE RINALDINO 09 09 1943 M CASSOLA  <START:Prov> OT <END> CODICE FISCALE 
ICE FISCALE WDPGVXO9 F B  YR , ATI ANAGRAFICI DENTI RISSIERI 2908 1914 M CASSOLNOVO  <START:Prov> OR <END> CODICE FISCALE 
ICE FISCALE UZMGA N8TVLK  YC , ATI ANAGRAFICI DENTICE ROALDO 7 2 8 2 2004 M CASTAGNARO  <START:Prov> PD <END> CODICE FISCALE 
ICE FISCALE CU LA IWSX EOGBF , ATI ANAGRAFICI DENTICI REO 5 4 6 9 0 8 1 5  F CASTAGNETO CARDUCCI  <START:Prov> PA <END> CODICE FISCALE 
ICE FISCALE HCJ DMEL8 ZRNO B , ATI ANAGRAFICI DENTONO RIBELLE 867O1901 F CASTAGNETO PO  <START:Prov> PR <END> CODICE FISCALE 
ICE FISCALE BK 9XEHMGZAW 8YI , ATI ANAGRAFICI DENUOVO RICORDO 3O49 1916 F CASTAGNITO  <START:Prov> PV <END> CODICE FISCALE 
ICE FISCALE BL HKCIGEM1VSPZN , ATI ANAGRAFICI DENZI RINALDO  7O 0O 93568 M CASTAGNOLE DELLE LANZE  <START:Prov> PG <END> CODICE FISCALE 
ICE FISCALE BLPDOT6K58ZVH J1 , ATI ANAGRAFICI DEONISSIO RISVEGLIO 18041935 F CASTAGNOLE MONFERRATO  <START:Prov> PU <END> CODICE FISCALE 
ICE FISCALE  XJAIL  ZGRB H 8 , ATI ANAGRAFICI DEPALMA ROANO 11 05 1964 F CASTAGNOLE PIEMONTE  <START:Prov> PE <END> CODICE FISCALE 
ICE FISCALE  HGYKWFR1OPX BQJ , ATI ANAGRAFICI DEPAOLA REODANTE 0610 1984 F CASTANA  <START:Prov> PC <END> CODICE FISCALE 
ICE FISCALE FY1JP8  6 WQ59ZV , ATI ANAGRAFICI DEPASQUALE RIBELLO 3 O O O 2017 M CASTANO PRIMO  <START:Prov> PI <END> CODICE FISCALE 
ICE FISCALE  SGR9NDJACIU P V , ATI ANAGRAFICI DEPRIMA RIDANIO 3 2 0 0 7 9 2 O  F CASTEGGIO  <START:Prov> PT <END> CODICE FISCALE 
ICE FISCALE W MDK59NXEZ8HPUG , ATI ANAGRAFICI DEPUSTI RINARDO 54621905 F CASTEGNATO  <START:Prov> PN <END> CODICE FISCALE 
ICE FISCALE 1KZQXTF JE8VOMP5 , ATI ANAGRAFICI D’ERAMO RISVELIO 0014 1903 F CASTEGNERO  <START:Prov> PZ <END> CODICE FISCALE 
ICE FISCALE QBTC9WUO 8XYSJ I , ATI ANAGRAFICI DERCINI ROBALDO 406 O 13958O F CASTEL BARONIA  <START:Prov> PO <END> CODICE FISCALE 
ICE FISCALE IAFT  9P8GYHBDQC , ATI ANAGRAFICI DERIDIO REONALDO 17031922 F CASTEL BOGLIONE  <START:Prov> RG <END> CODICE FISCALE 
ICE FISCALE PYJF EH6OUINAZX  , ATI ANAGRAFICI DERINI RIBERTO 18 07 1926 F CASTEL BOLOGNESE  <START:Prov> RA <END> CODICE FISCALE 
ICE FISCALE MAG1N  EKJTU6VSL , ATI ANAGRAFICI DEROSA RIDANO 0711 1998 M CASTEL CAMPAGNANO  <START:Prov> RC <END> CODICE FISCALE 
ICE FISCALE GRPM QDJU1CO9X5Y , ATI ANAGRAFICI DERRICO RINDO 3 O 5 6 2011 F CASTEL CASTAGNA  <START:Prov> RE <END> CODICE FISCALE 
ICE FISCALE AU8PJ L EGSZR 5N , ATI ANAGRAFICI DERUI RITANO 7 1 O 4 0 1 0 4  F CASTEL CONDINO  <START:Prov> RI <END> CODICE FISCALE 
ICE FISCALE 5JRF8VDIPXTUGOZE , ATI ANAGRAFICI DERVERIAN ROBERTINO 21O71904 F CASTEL D'AIANO  <START:Prov> RN <END> CODICE FISCALE 
ICE FISCALE   1F6ZMYQJLOD VG , ATI ANAGRAFICI DESALVO REOVALDO 7860 1915 M CASTEL D'ARIO  <START:Prov> RM <END> CODICE FISCALE 
ICE FISCALE 95 LTVGCR BSMFAN , ATI ANAGRAFICI DESANDO RIBES   9243O8 O 5  F CASTEL D'AZZANO  <START:Prov> RO <END> CODICE FISCALE 
ICE FISCALE 6A8 QOUE5PIW RCD , ATI ANAGRAFICI DESANDRE RIDEO 17061990 M CASTEL DEL GIUDICE  <START:Prov> SA <END> CODICE FISCALE 
ICE FISCALE L1JVWHTCR  KQSDY , ATI ANAGRAFICI DESANTIO RINELLO 02 05 1901 F CASTEL DEL MONTE  <START:Prov> SS <END> CODICE FISCALE 
ICE FISCALE  BAC8NT QZU 9XW6 , ATI ANAGRAFICI DESANTIS RITARDO 3002 1917 M CASTEL DEL PIANO  <START:Prov> SV <END> CODICE FISCALE 
ICE FISCALE AEW QZHJB NLOS V , ATI ANAGRAFICI DESARIA ROBERTO 9 0 0 2 2004 F CASTEL DEL RIO  <START:Prov> SI <END> CODICE FISCALE 
ICE FISCALE IJGE 58MWTX6YB N , ATI ANAGRAFICI DESCHINO REPARATO 1 8 8 1 5 9 8 9  M CASTEL DI CASIO  <START:Prov> SR <END> CODICE FISCALE 
ICE FISCALE FKN1GDIWP   6AYU , ATI ANAGRAFICI DESIDERATO RICANGELO O7O31914 F CASTEL DI IERI  <START:Prov> SO <END> CODICE FISCALE 
ICE FISCALE AUTX5WIELJ9DF6YN , ATI ANAGRAFICI DESIDERIO RIDIO O986 1909 F CASTEL DI IUDICA  <START:Prov> TA <END> CODICE FISCALE 
ICE FISCALE M AQW1OJK 9N5RYE , ATI ANAGRAFICI DESIGRONE RINEO   93 0 24 O86 M CASTEL DI LAMA  <START:Prov> TE <END> CODICE FISCALE 
ICE FISCALE A SZ8V5NFMYWTQG  , ATI ANAGRAFICI DESIMONE RITO 19011978 F CASTEL DI LUCIO  <START:Prov> TR <END> CODICE FISCALE 
ICE FISCALE UWC  XAMQITGZ8 F , ATI ANAGRAFICI D’ESOPO ROBIS 16 04 1963 M CASTEL DI SANGRO  <START:Prov> TP <END> CODICE FISCALE 
ICE FISCALE D6G  CPMU HZ8EWB , ATI ANAGRAFICI DESPERZA RESI 2802 1941 M CASTEL DI SASSO  <START:Prov> TN <END> CODICE FISCALE 
ICE FISCALE KR 8FUA5Q L6EZH  , ATI ANAGRAFICI DESPOSITO RICARDO 0 1 7 8 2017 M CASTEL DI TORA  <START:Prov> TV <END> CODICE FISCALE 
ICE FISCALE E8UZXVT6 CR KA 5 , ATI ANAGRAFICI DESPOTO RIDO 1 O 3 2 1 7 2 3  M CASTEL FOCOGNANO  <START:Prov> TS <END> CODICE FISCALE 
ICE FISCALE WUM OZK5H8NG P1Q , ATI ANAGRAFICI DESTEFANO RINETTO O2821903 F CASTEL FRENTANO  <START:Prov> TO <END> CODICE FISCALE 
ICE FISCALE PBHCK9N 5X GL  T , ATI ANAGRAFICI DESTRIERI RITUCCIO 31O4 1909 M CASTEL GABBIANO  <START:Prov> UD <END> CODICE FISCALE 
ICE FISCALE SZ BHCXWP86GMLJ5 , ATI ANAGRAFICI DETALIS ROBLEDO 42 98 3O  1 5 F CASTEL GANDOLFO  <START:Prov> VA <END> CODICE FISCALE 
ICE FISCALE YZWL 6BXFDCQMHT  , ATI ANAGRAFICI DETARO RESIO 22041928 M CASTEL GIORGIO  <START:Prov> VE <END> CODICE FISCALE 
ICE FISCALE S W 9GTIMUP6 B5E , ATI ANAGRAFICI DEVETTO RICCARDI 27 07 1924 F CASTEL GOFFREDO  <START:Prov> VB <END> CODICE FISCALE 
ICE FISCALE J L UCBWVMZ1KF O , ATI ANAGRAFICI DEVICARISO RIDOLFO 1305 1918 F CASTEL GUELFO DI BOLOGNA  <START:Prov> VC <END> CODICE FISCALE 
ICE FISCALE HAR6E1ULBMN5D  S , ATI ANAGRAFICI DEVIDO RINGO 3 6 8 9 2002 M CASTEL IVANO  <START:Prov> VR <END> CODICE FISCALE 
ICE FISCALE JE1U Q PCSHWTDNX , ATI ANAGRAFICI DEVITO RIVA 5 5 O O 9 0 4 4  M CASTEL MADAMA  <START:Prov> VV <END> CODICE FISCALE 
ICE FISCALE SH6IEG9 YPX5D NW , ATI ANAGRAFICI DEVONA ROBLETO O2311900 M CASTEL MAGGIORE  <START:Prov> VI <END> CODICE FISCALE 
ICE FISCALE 685 1CKGDM 9SLZQ , ATI ANAGRAFICI D’FILIPPO RESPICIO 9965 1918 F CASTEL MELLA  <START:Prov> VT <END> CODICE FISCALE 
ICE FISCALE  15 DOHJUGQI A 9 , ATI ANAGRAFICI DI CESARE RICCARDINO  1 O726 45 3  M CASTEL MORRONE  <START:Prov> AG <END> CODICE FISCALE 
ICE FISCALE IRGU9PBLWNDX1ATZ , ATI ANAGRAFICI DI DOMIZIO RIEDO 30071991 M CASTEL RITALDI  <START:Prov> AL <END> CODICE FISCALE 
ICE FISCALE  ON1RJCETXS6AMW9 , ATI ANAGRAFICI DI FRESCO D’IGNOTO RINIERI 11 07 1963 F CASTEL ROCCHERO  <START:Prov> AN <END> CODICE FISCALE 
ICE FISCALE TYFKH8JG Q5DC X  , ATI ANAGRAFICI DI GIACOMETTINO RIVALDO 0707 1959 F CASTEL ROZZONE  <START:Prov> AO <END> CODICE FISCALE 
ICE FISCALE F 6J5AD1RUWY GZP , ATI ANAGRAFICI DI GIOVANNI ROBOAMO O O 6 8 2009 F CASTEL SAN GIORGIO  <START:Prov> AR <END> CODICE FISCALE 
ICE FISCALE CXNQAK9 MOB 6 IV , ATI ANAGRAFICI DI MAGGIO RESTITUTO 5 1 8 2 0 9 O 5  M CASTEL SAN GIOVANNI  <START:Prov> AP <END> CODICE FISCALE 
ICE FISCALE 9VYJONE 8HQ51 DK , ATI ANAGRAFICI DI MAGIO RICCARDO 18O11908 M CASTEL SAN LORENZO  <START:Prov> AT <END> CODICE FISCALE 
ICE FISCALE HC  V K9SDL1WQJ8 , ATI ANAGRAFICI DI MARZO RIEGO 5413 1919 M CASTEL SAN NICCOLÒ  <START:Prov> AV <END> CODICE FISCALE 
ICE FISCALE BNA1J OS WX IPVU , ATI ANAGRAFICI DI QUATTRO RINIERO 8  2 031O6O M CASTEL SAN PIETRO ROMANO  <START:Prov> BA <END> CODICE FISCALE 
ICE FISCALE YDEMJC V5NHT UIO , ATI ANAGRAFICI DI RIENZI RIVANO 04081945 M CASTEL SAN PIETRO TERME  <START:Prov> BT <END> CODICE FISCALE 
ICE FISCALE ENPGT9J W18 LBRV , ATI ANAGRAFICI DI VOTTI ROBOANO 02 07 1962 F CASTEL SAN VINCENZO  <START:Prov> BL <END> CODICE FISCALE 
ICE FISCALE AJ5PX 8BVG ENSZ  , ATI ANAGRAFICI DI VOTTO RESVINDO 0303 1910 F CASTEL SANT'ANGELO  <START:Prov> BN <END> CODICE FISCALE 
ICE FISCALE FQT L6 N GK BSOY , ATI ANAGRAFICI DIABERTO RICCI O 4 2 7 2000 F CASTEL SANT'ELIA  <START:Prov> BG <END> CODICE FISCALE 
ICE FISCALE L96MV XH8JWE OYT , ATI ANAGRAFICI DIACCURSIO RIELLO 4 4 8 0 6 O 0 9  F CASTEL VISCARDO  <START:Prov> BI <END> CODICE FISCALE 
ICE FISCALE P MX196 WRVBTSEI , ATI ANAGRAFICI DIACONO RINIO 7O541918 F CASTEL VITTORIO  <START:Prov> BO <END> CODICE FISCALE 
ICE FISCALE PQHXF  1CBS Z9JY , ATI ANAGRAFICI DIAGONETTO RIVIERO 4789 1915 F CASTEL VOLTURNO  <START:Prov> BZ <END> CODICE FISCALE 
ICE FISCALE VMWAG NEK  5S8HD , ATI ANAGRAFICI DIAGOSTINO ROBUSTIANO 1659 728  0 3 F CASTELBALDO  <START:Prov> BS <END> CODICE FISCALE 
ICE FISCALE A8OMW  J  KYRUQG , ATI ANAGRAFICI DIALFONSO RETO 02081942 M CASTELBELFORTE  <START:Prov> BR <END> CODICE FISCALE 
ICE FISCALE 51MIX 9HNP   VBQ , ATI ANAGRAFICI DIAMANTE RICCIARDETTO 25 06 1976 M CASTELBELLINO  <START:Prov> CA <END> CODICE FISCALE 
ICE FISCALE PWQS  1V 9U FNBX , ATI ANAGRAFICI DIAMICO RIENZO 0301 1961 F CASTELBELLO-CIARDES  <START:Prov> CL <END> CODICE FISCALE 
ICE FISCALE B LV  CP5MF91E6  , ATI ANAGRAFICI DI’ANDREA RINO 4 5 9 3 2013 M CASTELBIANCO  <START:Prov> CB <END> CODICE FISCALE 
ICE FISCALE FY OB   KNMVAHIX , ATI ANAGRAFICI DIANGELO RIVIO 4 O O 2 O 5 2 7  M CASTELBOTTACCIO  <START:Prov> CI <END> CODICE FISCALE 
ICE FISCALE 9R15FW UILBGKXZ  , ATI ANAGRAFICI DIANGELOSANTE ROBUSTINO 98O91910 M CASTELBUONO  <START:Prov> CE <END> CODICE FISCALE 
ICE FISCALE WOXSLTP K8B F 9Z , ATI ANAGRAFICI DIANI RETTO 6548 1919 F CASTELCIVITA  <START:Prov> CT <END> CODICE FISCALE 
ICE FISCALE M8XKGJL5UWPV  1A , ATI ANAGRAFICI DIANTONE RICCIARDI 80947 265 13 F CASTELCOVATI  <START:Prov> CZ <END> CODICE FISCALE 
ICE FISCALE U 5 1  RFV 96WDQ , ATI ANAGRAFICI DIANTONI RIFEO 29061968 F CASTELCUCCO  <START:Prov> CH <END> CODICE FISCALE 
ICE FISCALE 5T ZYFVHU  W E9I , ATI ANAGRAFICI DIANTONINO RINUCCIO 28 03 1906 M CASTELDACCIA  <START:Prov> CO <END> CODICE FISCALE 
ICE FISCALE WJSCNPUAHOYZ 5L  , ATI ANAGRAFICI DIAZ RIVO 1501 1976 M CASTELDELCI  <START:Prov> CS <END> CODICE FISCALE 
ICE FISCALE  8D5SB  UZWKNAJX , ATI ANAGRAFICI DIBACCO ROBUSTO 5 6 1 O 2019 F CASTELDELFINO  <START:Prov> CR <END> CODICE FISCALE 
