CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE BAM 8WGHRK1SN  F  OT DATI ANAGRAFICI TORSILLO CIAPPINI 37691912     CODICE FISCALE 
CODICE FISCALE  MCBF 9UNHVXYPQJ  OT DATI ANAGRAFICI TORTA CIAPPONI OO41 1903     CODICE FISCALE 
CODICE FISCALE INMEU  WOKD RS6   OT DATI ANAGRAFICI TORTELLI CIAPUSSO 73 46  O 9      CODICE FISCALE 
CODICE FISCALE 6NJGDHQO8PY9TMEI  OT DATI ANAGRAFICI TORTI CIAPUTO 06081939     CODICE FISCALE 
CODICE FISCALE X BFZS 5QYUK IO9  OT DATI ANAGRAFICI TORTORA CIARAMELLA 23 04 1918     CODICE FISCALE 
CODICE FISCALE 68NH BOCFG 19ZQ   OT DATI ANAGRAFICI TORTORELLA CIARLA 1709 1948     CODICE FISCALE 
CODICE FISCALE IH5LUM9WPN K1EG   OT DATI ANAGRAFICI TORTORETO CIARLANTE 9 2 3 9 2008     CODICE FISCALE 
CODICE FISCALE PT J8CFXAKIZ6VO   OT DATI ANAGRAFICI TORTORI CIARNATORI 0 7 2 6 O 9 O 3      CODICE FISCALE 
CODICE FISCALE M BKCTY P8QWOF 1  OT DATI ANAGRAFICI TORTORIC CIARRAFRICO O83O1902     CODICE FISCALE 
CODICE FISCALE OQ9UTMEF AV6IS18  OT DATI ANAGRAFICI TORTORICI CIASCO 7O89 1917     CODICE FISCALE 
CODICE FISCALE AS 5RF VXE8C6JWO  OT DATI ANAGRAFICI TORTORICO CIAULA  59  318260     CODICE FISCALE 
CODICE FISCALE  8UTHJFC1QR9SA W  OT DATI ANAGRAFICI TORTORIELLO CIAVETTO 25051983     CODICE FISCALE 
CODICE FISCALE DY1KGL MWQRUHN J  OT DATI ANAGRAFICI TORTRICI CIAVOLA 18 08 1957     CODICE FISCALE 
CODICE FISCALE  D M EUK9HBNP GY  OT DATI ANAGRAFICI TOSA CIBA 1207 1998     CODICE FISCALE 
CODICE FISCALE IB 5Q1NGCHR SP    OT DATI ANAGRAFICI TOSABECCHI CIBRARIO 5 5 7 O 2016     CODICE FISCALE 
CODICE FISCALE  PVZNBTO 5 KXEYR  OT DATI ANAGRAFICI TOSATO CICAGLIONE O O 3 O 1 7 4 7      CODICE FISCALE 
CODICE FISCALE IAOUNWMSG5 P ZQC  OT DATI ANAGRAFICI TOSCANINI CICALA 25051913     CODICE FISCALE 
CODICE FISCALE Y M LCU FS1GRD5A  OT DATI ANAGRAFICI TOSCANO CICALE OO00 1914     CODICE FISCALE 
CODICE FISCALE MN 5 Y9H8KG TFXI  OT DATI ANAGRAFICI TOSCO CICANCIO 92738 OO  0      CODICE FISCALE 
CODICE FISCALE 8F5P M R G6YQUX   OT DATI ANAGRAFICI TOSELLI CICARILLI 07041978     CODICE FISCALE 
CODICE FISCALE L6WB DP8ARKVJ T   OT DATI ANAGRAFICI TOSI CICATELLA 07 07 1959     CODICE FISCALE 
CODICE FISCALE X1   T QDFE8YP J  OT DATI ANAGRAFICI TOSINGHI CICCARELLI 1609 1957     CODICE FISCALE 
CODICE FISCALE KG1  WSAHCV EBPL  OT DATI ANAGRAFICI TOSO CICCARELLO O 5 6 9 2009     CODICE FISCALE 
CODICE FISCALE DGOM9SCJ 8 6B Q   OT DATI ANAGRAFICI TOSTO CICCHI 2 O 9 O 7 2 7 0      CODICE FISCALE 
CODICE FISCALE J8H  UWVNRTYDPS1  OT DATI ANAGRAFICI TOTARO CICCIO 56421902     CODICE FISCALE 
CODICE FISCALE 9AV JY OMDX6 P51  OT DATI ANAGRAFICI TOTERA CICCO 4210 1911     CODICE FISCALE 
CODICE FISCALE K VSHRQIYP9E5 FB  OT DATI ANAGRAFICI TOTORIZI CICCOCIOPPI  8902   35O 6     CODICE FISCALE 
CODICE FISCALE QEDB6 JSIPMLU9Y8  OT DATI ANAGRAFICI TOTTO CICCODEMARCO 03021969     CODICE FISCALE 
CODICE FISCALE 1DJWP586K 9TMLX   OT DATI ANAGRAFICI TOZZA CICCODICOLA 19 04 1931     CODICE FISCALE 
CODICE FISCALE 6WPQC8 MFGE D5    OT DATI ANAGRAFICI TOZZI CICCODICORATO 1005 1959     CODICE FISCALE 
CODICE FISCALE 15AMN9WJHFQICZKL  OT DATI ANAGRAFICI TOZZIA CICCOIANNI 4 1 8 0 2008     CODICE FISCALE 
CODICE FISCALE 6GVCOEBT  YX9 IP  OT DATI ANAGRAFICI TOZZO CICCONARDI 6 4 3 7 2 1 8 0      CODICE FISCALE 
CODICE FISCALE TCI9RPZU FKW8MYQ  OT DATI ANAGRAFICI TRABELLA CICCOSTOSTO 86631910     CODICE FISCALE 
CODICE FISCALE PW D6TUL GCO 8HS  OT DATI ANAGRAFICI TRABUCCO CICCRO OO54 1906     CODICE FISCALE 
CODICE FISCALE MHA LJWET U6G9DK  OT DATI ANAGRAFICI TRACI CICERALE  10 8OO5 964     CODICE FISCALE 
CODICE FISCALE WSBELHPNVXOY DG   OT DATI ANAGRAFICI TRACIA CICERELLI 12081964     CODICE FISCALE 
CODICE FISCALE G5RAN6UB9DLZ8FMY  OT DATI ANAGRAFICI TRADITI CICERONE 21 03 1964     CODICE FISCALE 
CODICE FISCALE BIJFUM6LA   O5WG  OT DATI ANAGRAFICI TRAFFICANTE CICIARI 1505 1950     CODICE FISCALE 
CODICE FISCALE Y8  LXEJ1AOIWNQB  OT DATI ANAGRAFICI TRAFICANTE CICIO 1 9 5 9 2001     CODICE FISCALE 
CODICE FISCALE OTN9X  R  HB DCE  OT DATI ANAGRAFICI TRAFIONIO CICOGNA 7 0 4 8 9 5 1 3      CODICE FISCALE 
CODICE FISCALE EQM XOIAVZK9S6 5  OT DATI ANAGRAFICI TRAINA CICOGNI 43011903     CODICE FISCALE 
CODICE FISCALE HFKPI8UJZ  MY RN  OT DATI ANAGRAFICI TRAINI CICOIRA 1539 1909     CODICE FISCALE 
CODICE FISCALE HZ  WG VMX9Q18FK  OT DATI ANAGRAFICI TRAJANO CICORIA O2  6O0193      CODICE FISCALE 
CODICE FISCALE E XL UQFBSM9T8WG  OT DATI ANAGRAFICI TRAMBUSTI CIEHIRELLO 09111908     CODICE FISCALE 
CODICE FISCALE ONLSJPKYRA 6 W C  OT DATI ANAGRAFICI TRAMONTANI CIENELEO 13 08 1955     CODICE FISCALE 
CODICE FISCALE RPVBNKUFM5Y ISTC  OT DATI ANAGRAFICI TRAMONTE CIERRIO 1305 1934     CODICE FISCALE 
CODICE FISCALE 5OUAHELK8D9FPCRB  OT DATI ANAGRAFICI TRAMONTI CIERVA 7 2 5 4 2007     CODICE FISCALE 
CODICE FISCALE S O MVUR8F1WJXB   OT DATI ANAGRAFICI TRAMPOLINI CIFERRI 9 6 7 O 9 9 7 1      CODICE FISCALE 
CODICE FISCALE DQFPHGBUWE 1  TN  OT DATI ANAGRAFICI TRAMUTOLA CIFFARELLO 65021911     CODICE FISCALE 
CODICE FISCALE SF NXP6V5 OHTZ E  OT DATI ANAGRAFICI TRANCHIDA CIFFARIELLO 9918 1901     CODICE FISCALE 
CODICE FISCALE D OE1C TGSWNR 5   OT DATI ANAGRAFICI TRANCHINA CIGALINI 59 602O3O 7 1     CODICE FISCALE 
CODICE FISCALE AUL RPCF1V DKZB   OT DATI ANAGRAFICI TRANEATE CIGLIO 07011942     CODICE FISCALE 
CODICE FISCALE 9HJLZ RVF  G DXE  OT DATI ANAGRAFICI TRANEO CIGLIONE 21 02 1968     CODICE FISCALE 
CODICE FISCALE OLH E  UQP5D C F  OT DATI ANAGRAFICI TRANIA CIGLIUTO 2901 1956     CODICE FISCALE 
CODICE FISCALE F PUSVQK J NDHXE  OT DATI ANAGRAFICI TRANQUILLI CIGLUDO 9 4 2 2 2018     CODICE FISCALE 
CODICE FISCALE    VYMJTKX6W DFS  OT DATI ANAGRAFICI TRAPANI CIGNA 0 1 7 5 7 7 3 O      CODICE FISCALE 
CODICE FISCALE TL6C8 1JUXA5Q H   OT DATI ANAGRAFICI TRAPOLINO CIGNALE 49831906     CODICE FISCALE 
CODICE FISCALE PMZWN F1TSACYRK   OT DATI ANAGRAFICI TRAPONE CIGNARO O5O9 1904     CODICE FISCALE 
CODICE FISCALE DBEGYZ  SWA9V N   OT DATI ANAGRAFICI TRAPPI CIGNI  6  OO01738     CODICE FISCALE 
CODICE FISCALE KUMIGFOARE C6DH1  OT DATI ANAGRAFICI TRASICANTE CIGNO 04081980     CODICE FISCALE 
CODICE FISCALE PVGAKECL SBD5  9  OT DATI ANAGRAFICI TRASIMENI CIGNONI 02 09 1935     CODICE FISCALE 
CODICE FISCALE 9C H16RD8ZQMW EV  OT DATI ANAGRAFICI TRAVAGLINI CILEMO 1304 1907     CODICE FISCALE 
CODICE FISCALE  CFXK8BAJEO ID G  OT DATI ANAGRAFICI TRAVERSA CILENZA 1 3 9 O 2017     CODICE FISCALE 
CODICE FISCALE G Q8R A5PJS 6BDW  OT DATI ANAGRAFICI TRAVERSARI CILIEGI O O 4 8 O O 8 7      CODICE FISCALE 
CODICE FISCALE EVPY R QIH 1DKGF  OT DATI ANAGRAFICI TRAVERSO CILONA 79301915     CODICE FISCALE 
CODICE FISCALE RK1XO IAJQW D Z   OT DATI ANAGRAFICI TRAVIA CIMA 9025 1907     CODICE FISCALE 
CODICE FISCALE 5SXV61K 9 UJLI B  OT DATI ANAGRAFICI TRAZZI CIMADOMO 056 2 7 89O 1     CODICE FISCALE 
CODICE FISCALE 9LVF 8UK6BTIH GQ  OT DATI ANAGRAFICI TREBBI CIMAROSA 20041997     CODICE FISCALE 
CODICE FISCALE EOLTBHVPD S  FNI  OT DATI ANAGRAFICI TRECAPELLI CIMATORE 15 01 1951     CODICE FISCALE 
CODICE FISCALE F 6OSVYWA CJ PR   OT DATI ANAGRAFICI TRECASE CIMBALI 0309 1981     CODICE FISCALE 
CODICE FISCALE OCYN5AZXS 8 IVFR  OT DATI ANAGRAFICI TRECROCI CIMELLO 5 5 5 9 2006     CODICE FISCALE 
CODICE FISCALE   U1YFXGO86ZIHBN  OT DATI ANAGRAFICI TREDANARI CIMERA O 0 0 O 4 8 3 1      CODICE FISCALE 
CODICE FISCALE JCOHBI G 5NMQ6 K  OT DATI ANAGRAFICI TREDENTE CIMICINI 95461909     CODICE FISCALE 
CODICE FISCALE GNY1VD9JFPK OQA8  OT DATI ANAGRAFICI TREGGIARI CIMICIONI 5998 1908     CODICE FISCALE 
CODICE FISCALE KZ8BS6XLAQHNE  I  OT DATI ANAGRAFICI TREMARELLI CIMINARO O  290O6 4 57     CODICE FISCALE 
CODICE FISCALE  ZP O9THMKAX 6DQ  OT DATI ANAGRAFICI TREMARI CIMINI 25101904     CODICE FISCALE 
CODICE FISCALE VPY L IRTHEU C8Q  OT DATI ANAGRAFICI TREMOLI CIMINO 12 11 1939     CODICE FISCALE 
CODICE FISCALE HZYEAXD69KOM 8W   OT DATI ANAGRAFICI TRENDA CIMMINIELLO 3008 1948     CODICE FISCALE 
CODICE FISCALE 1HY6KE S DG  X8A  OT DATI ANAGRAFICI TRENTA CIMO O 0 O O 2012     CODICE FISCALE 
CODICE FISCALE  YS9NA516O   ZFM  OT DATI ANAGRAFICI TRENTACAPELLI CIMOIGARTI 4 3 5 1 O 1 5 7      CODICE FISCALE 
CODICE FISCALE DYMI9N OT8SP WEV  OT DATI ANAGRAFICI TRENTACINQUE CINABRO 26O61916     CODICE FISCALE 
CODICE FISCALE DSR  QKBG HNXT I  OT DATI ANAGRAFICI TRENTACOSTE CINALLI 8997 1905     CODICE FISCALE 
CODICE FISCALE  U89AEVBRFL Z1ID  OT DATI ANAGRAFICI TRENTADUE CINAOLO  0529OO63714      CODICE FISCALE 
CODICE FISCALE V   YGB DR 1MN9   OT DATI ANAGRAFICI TRENTANNI CINCANELLI 29111987     CODICE FISCALE 
CODICE FISCALE DVNTXFRZQUBIYOH   OT DATI ANAGRAFICI TRENTANOVE CINCIARELLO 19 07 1970     CODICE FISCALE 
CODICE FISCALE DR8G5TFVC9E ZOBL  OT DATI ANAGRAFICI TREPICCIONE CINCINNATI 2503 1947     CODICE FISCALE 
CODICE FISCALE VGML QSNFW B5 UX  OT DATI ANAGRAFICI TREPIEDI CINCOTTA O 7 0 0 2011     CODICE FISCALE 
CODICE FISCALE  8 UWBOLTXVA H6Q  OT DATI ANAGRAFICI TRESOLDI CINEFRA 8 6 1 9 0 3 O 9      CODICE FISCALE 
CODICE FISCALE I VYO6 1J EPXCK   OT DATI ANAGRAFICI TRIALO CINELLI 38O71900     CODICE FISCALE 
CODICE FISCALE PMAUJGQLNEOHY9K8  OT DATI ANAGRAFICI TRIATRIA CINELLO 345O 1919     CODICE FISCALE 
CODICE FISCALE   BR UM6Z5F A LP  OT DATI ANAGRAFICI TRIBASTUNI CINERIO O745O3 69  12     CODICE FISCALE 
CODICE FISCALE FUEGR6APC9NX1S L  OT DATI ANAGRAFICI TRIBOLATI CINERO 18011913     CODICE FISCALE 
CODICE FISCALE  9S VAPONG8FWILU  OT DATI ANAGRAFICI TRIBOLI CINESI 01 09 1946     CODICE FISCALE 
CODICE FISCALE 9 8MA1 W YJRUSHT  OT DATI ANAGRAFICI TRIBUNALE CINGALE 2701 1983     CODICE FISCALE 
CODICE FISCALE   9Z5 6O8XNPDFYU  OT DATI ANAGRAFICI TRIBUNO CINGNEGRANIO O 4 5 5 2013     CODICE FISCALE 
CODICE FISCALE HN MFZLK XT8R EB  OT DATI ANAGRAFICI TRICANSO CINGOLANI 0 O 7 5 8 9 4 3      CODICE FISCALE 
CODICE FISCALE ORQTSXVLEP  GIFK  OT DATI ANAGRAFICI TRICASE CINGOTTA 898O1910     CODICE FISCALE 
CODICE FISCALE  6F MT CA OHRSK8  OT DATI ANAGRAFICI TRIDENTE CINI 9515 1900     CODICE FISCALE 
CODICE FISCALE XSBQY ZJ 8PLDF E  OT DATI ANAGRAFICI TRIFILETTI CININO 36780 5  O 2      CODICE FISCALE 
CODICE FISCALE T68HMEY DKVCOXJU  OT DATI ANAGRAFICI TRIGLIA CINO 02111918     CODICE FISCALE 
CODICE FISCALE 5VYKFRH A COIWNS  OT DATI ANAGRAFICI TRIGLIO CINOTTI 23 09 1960     CODICE FISCALE 
CODICE FISCALE WN5 PEUXOJQBMAYG  OT DATI ANAGRAFICI TRILLINI CINQUE 1110 1992     CODICE FISCALE 
CODICE FISCALE NJS5 RLDI1OZXVTC  OT DATI ANAGRAFICI TRILLO CINQUEGIANI 7 9 1 3 2003     CODICE FISCALE 
CODICE FISCALE 9C  LXD G  AQMSU  OT DATI ANAGRAFICI TRIMOLI CINQUEGRANA 5 2 8 2 9 1 9 8      CODICE FISCALE 
CODICE FISCALE CRMOGVPKWH8YIXLU  OT DATI ANAGRAFICI TRINCHITELLA CINQUEGRANI 69021916     CODICE FISCALE 
CODICE FISCALE XHQA8 YSCODVU K   OT DATI ANAGRAFICI TRINFANO CINQUEMANI 982O 1905     CODICE FISCALE 
CODICE FISCALE PRLWGKNX9U   BH6  OT DATI ANAGRAFICI TRINGALI CINQUENANO  06  7 5O38     CODICE FISCALE 
CODICE FISCALE JR1G9UK5 PLO QWS  OT DATI ANAGRAFICI TRIOLO CINQUEPALMI 12061968     CODICE FISCALE 
CODICE FISCALE  8QPIM 9TSAW1BDU  OT DATI ANAGRAFICI TRIONE CINQUESOLDI 24 02 1909     CODICE FISCALE 
CODICE FISCALE  LYH8AIB9D1XVJCP  OT DATI ANAGRAFICI TRIONFANTE CINQUEVIE 2401 1981     CODICE FISCALE 
CODICE FISCALE R E6S LK5ODNXP    OT DATI ANAGRAFICI TRIPI CINTI 2 1 O 8 2013     CODICE FISCALE 
CODICE FISCALE TJRNEP MOWU6Z9 A  OT DATI ANAGRAFICI TRIPOLI CIOCCA O 5 2 O O 0 O 0      CODICE FISCALE 
CODICE FISCALE  TX61KYSM I9ZWPE  OT DATI ANAGRAFICI TRIPOLONE CIOCCHETTI 91881909     CODICE FISCALE 
CODICE FISCALE  YH ULCK96DJS8A   OT DATI ANAGRAFICI TRIPPA CIOCCHI 481O 1917     CODICE FISCALE 
CODICE FISCALE  QKUTFAPJ IX O65  OT DATI ANAGRAFICI TRIPPETTI CIOCCHINI 20 O5319 O7     CODICE FISCALE 
CODICE FISCALE Q 9DUC1 HFZV R P  OT DATI ANAGRAFICI TRIPPOLINO CIOCI 09051948     CODICE FISCALE 
CODICE FISCALE QNZ T5HU MCXSP    OT DATI ANAGRAFICI TRIPPUTI CIOCIOLA 08 10 1924     CODICE FISCALE 
CODICE FISCALE UE LVTWM 5CNQ HI  OT DATI ANAGRAFICI TRISCHITTA CIOFALO 1605 1983     CODICE FISCALE 
CODICE FISCALE VQWMA  DU 8RFCK1  OT DATI ANAGRAFICI TRISCIUZZI CIOFFARI 5 6 8 O 2010     CODICE FISCALE 
CODICE FISCALE OJLVRSH1 Z D96KN  OT DATI ANAGRAFICI TRISLO CIOFFI 8 2 O 8 3 9 3 O      CODICE FISCALE 
CODICE FISCALE BEH9ZUJRQM YWDNV  OT DATI ANAGRAFICI TRISTANI CIOFOLETTI OOOO1910     CODICE FISCALE 
CODICE FISCALE 5 CKOA1YVZQI UFX  OT DATI ANAGRAFICI TRIUNVIRI CIOLA 7471 1906     CODICE FISCALE 
CODICE FISCALE AWOG5TYLP  9XS 6  OT DATI ANAGRAFICI TRIVELLINI CIOPPO 16 O784 3 9     CODICE FISCALE 
CODICE FISCALE ZKVYFOHIAX EPQC   OT DATI ANAGRAFICI TRIZZELLO CIORGLIA 29031903     CODICE FISCALE 
CODICE FISCALE 6W D8A5CQN  S 1R  OT DATI ANAGRAFICI TRIZZINO CIOTO 06 01 1918     CODICE FISCALE 
CODICE FISCALE WJDKFIU5X1EASH9Q  OT DATI ANAGRAFICI TRNCHINA CIOTTO 3006 1910     CODICE FISCALE 
CODICE FISCALE 8C6KX MFVHRE9 OG  OT DATI ANAGRAFICI TROCCHI CIPERI 6 0 O 2 2011     CODICE FISCALE 
CODICE FISCALE UJXBVSI1EZ  D CY  OT DATI ANAGRAFICI TROCCINO CIPOLLA 8 6 9 9 1 9 9 7      CODICE FISCALE 
CODICE FISCALE KB5YM XLCQE  9TR  OT DATI ANAGRAFICI TROCCOLI CIPOLLARO 621O1900     CODICE FISCALE 
CODICE FISCALE GWY   HZFIDAO Q   OT DATI ANAGRAFICI TROCIA CIPOLLI 80OO 1900     CODICE FISCALE 
CODICE FISCALE HYKVXJIC S D68UW  OT DATI ANAGRAFICI TROGLIO CIPOLLONE O37  59   6O2     CODICE FISCALE 
CODICE FISCALE B P VNIXR9K65 F   OT DATI ANAGRAFICI TROGRA CIPRELLI 20041979     CODICE FISCALE 
CODICE FISCALE YJLNMK H VURI1 P  OT DATI ANAGRAFICI TROI CIPRESSO 18 09 1951     CODICE FISCALE 
CODICE FISCALE  PNK6UD FRVQAJOE  OT DATI ANAGRAFICI TROIA CIPRIANO 0402 1982     CODICE FISCALE 
CODICE FISCALE DOUMB1TFLNEC 9IQ  OT DATI ANAGRAFICI TROJANO CIPRO 0 4 8 6 2015     CODICE FISCALE 
CODICE FISCALE 1V  EPI AMHF98KT  OT DATI ANAGRAFICI TROMBA CIPULLY 9 9 8 3 6 3 1 4      CODICE FISCALE 
CODICE FISCALE  TOBX5N L8UZEHFC  OT DATI ANAGRAFICI TROMBADORE CIPULO 67531906     CODICE FISCALE 
CODICE FISCALE 6U5VZRLXYSFB ACD  OT DATI ANAGRAFICI TROMBE CIRACI 6552 1900     CODICE FISCALE 
CODICE FISCALE UNWA  J9PELKZT6F  OT DATI ANAGRAFICI TROMBETTI CIRANFRA 3O912758O4 6     CODICE FISCALE 
CODICE FISCALE EKAIGURY8 1 NCP   OT DATI ANAGRAFICI TROMBONCINI CIRANOLO 21031989     CODICE FISCALE 
CODICE FISCALE 1T5 QEWN9ABRI 8Z  OT DATI ANAGRAFICI TROMBONE CIRAOLA 01 02 1927     CODICE FISCALE 
CODICE FISCALE CTRPVXUYBA J QMH  OT DATI ANAGRAFICI TROMELLITI CIRAOLO 1111 1990     CODICE FISCALE 
CODICE FISCALE F  8 GPQAIS 51OK  OT DATI ANAGRAFICI TROMENTE CIRASOLE 5 8 9 0 2001     CODICE FISCALE 
CODICE FISCALE J ALVHMQOEDGB5Y   OT DATI ANAGRAFICI TRONCALE CIRASUOLO 6 9 6 3 2 1 2 2      CODICE FISCALE 
CODICE FISCALE IB 5HDE SZGRVWNY  OT DATI ANAGRAFICI TRONI CIRASVOLI 33041913     CODICE FISCALE 
CODICE FISCALE JXSATWF RDMEZ 8   OT DATI ANAGRAFICI TRONOLONE CIRCELLO 3019 1905     CODICE FISCALE 
CODICE FISCALE DIA1M ZUE8PVJ Q   OT DATI ANAGRAFICI TROPIANO CIRCO O98 62 50 17      CODICE FISCALE 
CODICE FISCALE H XF1ESU9ZY WGVL  OT DATI ANAGRAFICI TROTTA CIRCOSTA 19051973     CODICE FISCALE 
CODICE FISCALE 6  I9 OAQDHRNTPK  OT DATI ANAGRAFICI TROTTE CIRELLA 27 09 1951     CODICE FISCALE 
CODICE FISCALE ZLRPV9D H8GC TFB  OT DATI ANAGRAFICI TROTTI CIRENAICA 1204 1950     CODICE FISCALE 
CODICE FISCALE  ZO6 9ER5AK18Y G  OT DATI ANAGRAFICI TROTTO CIRERO 2 2 0 6 2009     CODICE FISCALE 
CODICE FISCALE S8KJYHNLPG  XB 1  OT DATI ANAGRAFICI TROVATELLO CIRESI 9 O 0 1 1 O 1 5      CODICE FISCALE 
CODICE FISCALE   N SF81ELIKQUCM  OT DATI ANAGRAFICI TROVATO CIRFIOA 2O1O1906     CODICE FISCALE 
CODICE FISCALE 5HPFADMUXSCV8I6Q  OT DATI ANAGRAFICI TROZZI CIRI 2O1O 1918     CODICE FISCALE 
CODICE FISCALE  LXWVO C BSA RG   OT DATI ANAGRAFICI TRUCCO CIRIAUNI    5602O8 47     CODICE FISCALE 
CODICE FISCALE  56GT SXNP 81EHY  OT DATI ANAGRAFICI TRUFFARELLI CIRIGLIANO 14031957     CODICE FISCALE 
CODICE FISCALE NE L 6G5S WYIFX   OT DATI ANAGRAFICI TRUFFI CIRILLO 07 02 1942     CODICE FISCALE 
CODICE FISCALE YTFBCVX  W1PG EZ  OT DATI ANAGRAFICI TRULLI CIRINA 2307 1961     CODICE FISCALE 
CODICE FISCALE   FE9DRK8XZIGHM   OT DATI ANAGRAFICI TRUSCELLO CIRINCINE 1 2 6 5 2009     CODICE FISCALE 
CODICE FISCALE FPIWRJ  Z E596LX  OT DATI ANAGRAFICI TRUSIO CIRINCIO O 6 7 0 9 2 7 5      CODICE FISCALE 
CODICE FISCALE   LFX ZE5N  YO9W  OT DATI ANAGRAFICI TRUSSA CIRINEIONE 37371906     CODICE FISCALE 
CODICE FISCALE E NQP6U5FJKO8SBX  OT DATI ANAGRAFICI TRUZNOLINO CIRINO 1O6O 1916     CODICE FISCALE 
CODICE FISCALE ZTN516H8 BQMFU O  OT DATI ANAGRAFICI TRUZZOLINI CIRIO 95 41  3OO67     CODICE FISCALE 
CODICE FISCALE 8Q YMZIFUX1 PBLC  OT DATI ANAGRAFICI TSMBURELLO CIRLINGIONE 14041910     CODICE FISCALE 
CODICE FISCALE RHUAY XODE8TWIZ9  OT DATI ANAGRAFICI TUCCI CIRNADORO 14 11 1986     CODICE FISCALE 
CODICE FISCALE 9U1BO  LH ESY6PT  OT DATI ANAGRAFICI TUCIA CIRNICA 1008 1917     CODICE FISCALE 
CODICE FISCALE DTMBGKXLO C58VIH  OT DATI ANAGRAFICI TUFANTE CIRO 4 8 0 9 2008     CODICE FISCALE 
CODICE FISCALE YK8G ABDZXNEPR 6  OT DATI ANAGRAFICI TUFO CIROCCHI 1 0 4 1 4 0 7 O      CODICE FISCALE 
CODICE FISCALE XP JVZF89T WS LY  OT DATI ANAGRAFICI TULLO CIRONCIONE 76O31910     CODICE FISCALE 
CODICE FISCALE RKFWMA5 H1U 8EBI  OT DATI ANAGRAFICI TUMBARELLO CIRONI 0116 1914     CODICE FISCALE 
CODICE FISCALE 6TLKJRDS V  ZMY5  OT DATI ANAGRAFICI TUMERELLO CIRRCUCIONE O5 7 463O 189     CODICE FISCALE 
CODICE FISCALE  SYXJG NAKEIL     OT DATI ANAGRAFICI TUMINELLI CIRRITO 01081928     CODICE FISCALE 
CODICE FISCALE R1UC I6WOEY9TK X  OT DATI ANAGRAFICI TUMINI CIRULLI 18 11 1908     CODICE FISCALE 
CODICE FISCALE 1J9TN LY8Q HOWEM  OT DATI ANAGRAFICI TUMINO CIRVELLI 2506 1989     CODICE FISCALE 
CODICE FISCALE D B H  JMXY VAI   OT DATI ANAGRAFICI TUMIRELLO CISALLA 1 9 7 O 2002     CODICE FISCALE 
CODICE FISCALE F OVHST  RE IUX1  OT DATI ANAGRAFICI TUMMERELLO CISTERNI 9 2 9 6 7 4 1 7      CODICE FISCALE 
CODICE FISCALE TMW YOCKJLZI1XSG  OT DATI ANAGRAFICI TUNILDORE CISTONE 88361910     CODICE FISCALE 
CODICE FISCALE WYG6JCRZA O9158N  OT DATI ANAGRAFICI TUNNIALO CITELLI 8O48 1914     CODICE FISCALE 
CODICE FISCALE 8 DMOWNGC9ZI V5E  OT DATI ANAGRAFICI TUOZZOLO CITRANO 8  3  1592O60     CODICE FISCALE 
CODICE FISCALE A USNFI65K 1WJTM  OT DATI ANAGRAFICI TUPPUTO CITRO 13091902     CODICE FISCALE 
CODICE FISCALE NU81 H Q YTX CZW  OT DATI ANAGRAFICI TURANO CITROLI 04 04 1970     CODICE FISCALE 
CODICE FISCALE Y  MOIU5WE ZCPQJ  OT DATI ANAGRAFICI TURATI CITRULO 0301 1921     CODICE FISCALE 
CODICE FISCALE  QE L9INCRM DH A  OT DATI ANAGRAFICI TURCHI CITTI 1 2 7 8 2015     CODICE FISCALE 
CODICE FISCALE K N5DFRTQA8JYC1E  OT DATI ANAGRAFICI TURCHINI CITTONE 6 9 O 2 0 6 3 0      CODICE FISCALE 
CODICE FISCALE P5H89  EKLWI DRU  OT DATI ANAGRAFICI TURCI CIUC 25491900     CODICE FISCALE 
CODICE FISCALE W 6LUEMY NFXQS 9  OT DATI ANAGRAFICI TURCO CIUFETTI 8221 1914     CODICE FISCALE 
CODICE FISCALE LWAZPY 9MF5K6G1O  OT DATI ANAGRAFICI TUREAU CIUFFELLI 1O285O  497     CODICE FISCALE 
CODICE FISCALE FS 5MX1E9DQT 8CI  OT DATI ANAGRAFICI TURES CIUFFI 02041972     CODICE FISCALE 
CODICE FISCALE 9UFBL  PMWRZ INH  OT DATI ANAGRAFICI TURFAZZO CIUFFIA 19 09 1997     CODICE FISCALE 
CODICE FISCALE SAV8U6CP59TZ   O  OT DATI ANAGRAFICI TURI CIULLA 0307 1975     CODICE FISCALE 
CODICE FISCALE Z16KAUI 9QJSVHTB  OT DATI ANAGRAFICI TURIACCO CIULLO 0 9 6 5 2000     CODICE FISCALE 
CODICE FISCALE NOXETA KZQJH  VI  OT DATI ANAGRAFICI TURICCHI CIURLA 6 5 5 5 1 9 4 9      CODICE FISCALE 
CODICE FISCALE  I9FMCY  VBU EKH  OT DATI ANAGRAFICI TURLETTI CIVALIERI 4O121918     CODICE FISCALE 
CODICE FISCALE S1 8VMXN YBPI6DG  OT DATI ANAGRAFICI TURLINI CIVELLA 3180 1915     CODICE FISCALE 
CODICE FISCALE 8BNYGRS  D9J ME5  OT DATI ANAGRAFICI TURMANETO CIVENNI 7 10  568OO4     CODICE FISCALE 
CODICE FISCALE F Q HAS1LX 8JEMD  OT DATI ANAGRAFICI TURMNENELLO CIVETTA 25031963     CODICE FISCALE 
